,l-r,s-,a-d,e-k
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0228445100258063,0.0
69,0.0215087943855035,0.0371521723355465,0.0110192837465565,0.0737829232995459
70,0.0,0.0,0.0028886194416118,0.0
71,0.0713073005705044,0.0,0.40193357416987235,0.0
72,0.0328591459437486,9.552581919924916e-10,0.0388383498474038,0.1006019157763482
73,0.0,0.0,0.0,0.0
74,0.0,0.004935549393955,0.0103503368222358,0.0
75,0.420566457069517,0.1104863479647984,0.5638406232618567,0.0
76,0.0414660366539479,0.0,0.1325435187289389,0.0
77,0.0118127147483955,0.0,0.0077861952077733,0.0357482991648007
78,0.3149997789759174,0.0,0.0508021392205913,0.0
79,0.0867990859905697,0.08577242355598769,0.022351430920144,0.0137662726035371
80,0.0075525260970286,0.0,0.166006199890337,0.0
81,0.0,0.0182501339734542,0.0,0.0
82,0.0,0.0300231484322101,0.1534385156448495,0.034412351563019195
83,0.0,0.0,0.42057828463921837,0.0
84,0.06678108520149889,0.0080357142706672,0.0399613899325769,0.0616402701893354
85,0.0,0.0,0.0,0.0
86,0.0722795051253637,0.0,0.1003273042607769,0.0047078618939256
87,0.1360304188338733,0.0079119530579331,0.0054990078976322,0.0
88,0.0,0.0,0.054478081120985,0.0033035350866232
89,0.0245845321948028,0.0,0.0180916600933437,0.0
90,0.061402807739946,0.0,0.0,0.25557223012544034
91,0.0,0.0,0.0,0.44477889026667644
92,0.0996561690359398,0.6149025688003243,0.1954634827544077,0.0
93,0.003924416802693301,0.006181859217188,0.023140210650269,0.042283422550446995
94,0.0087045718197528,0.0,0.0151701764895694,0.0583759059115002
95,0.0,0.0052514463085395,0.0,0.0109993292601277
96,0.0383905597889594,0.0194086469071189,0.0454963234617714,0.083920567209817
97,0.0186570760136575,0.046586922980620005,0.0,0.0
98,0.0216796535835128,0.0251428573620979,0.044775962996962695,0.0
99,0.5457094946523813,0.5244052086299045,0.7348698876034578,0.7021263984248686
100,0.0814846258986574,0.026262626386514,0.0,0.0524549517422664
101,0.0298304918614858,0.0,0.059027000679364595,0.0043829978638748
102,0.0,0.0,0.0,0.0
103,0.037403267265265897,0.0245259820297182,0.0149142941074228,0.0
104,0.0,0.0499276037057422,0.0,0.0
105,0.0,0.0,0.0283890143491986,0.0
106,0.0,0.008549443875318,0.0,0.2734053730635082
107,0.0,0.0,0.1384912956261843,0.0
108,0.0524393190572173,0.0398950130558767,0.0094660101419022,0.3539072540047229
109,0.0,0.0,0.0,0.0
110,0.0,0.9597540047127133,0.0,0.0237311614972237
111,0.0064426325663409995,0.0,0.0185767322182261,0.0
112,0.0,0.0171112790243859,0.097879002569683,0.029482161639415597
113,0.0,0.0,0.5060172441762956,0.0
114,0.0,0.0074213185923764,0.0279995296808682,0.0
115,0.1785122559377279,0.0011538462433984,0.0,0.0449446051181366
116,0.0562410760665964,0.0881392849748291,0.0,0.0180425581410823
117,0.0,0.0,0.0,0.0079887221416072
118,0.0,0.028845656697586302,0.0,0.0
119,0.0,0.0439851933900705,0.1415386115563692,0.0692547839878336
120,0.8675418855302985,0.0,0.0,0.0
121,0.0,0.00855991580604,0.0,0.022101448408357
122,0.0064896758733216,0.0079510708913124,0.0238362718537421,0.0
123,0.20533494519870982,0.0,0.0,0.0071246452318665
124,0.0954919584452077,0.0,0.0,0.0
125,0.0132384784832718,0.2411995792477875,0.0,0.20445429745177007
126,0.0,0.0304496874048178,0.0,0.0
127,0.0389618304441398,0.0,0.044730419031367194,0.0632765394314938
128,0.0,0.0055706522713833,0.0,0.0185521680506846
129,0.0,0.0,0.0040989887879115,0.0087790431381893
130,0.0,0.0,0.0,0.0344185253190164
131,0.0,0.0,0.0,0.0
132,0.0,0.1099220549515553,0.0602861834475003,0.0757784040263161
133,0.041829138649073005,0.0291433394003433,0.0517273716216053,0.0
134,0.07267002368716151,0.0050918693024955,0.0080712689662786,0.11307971182649461
135,0.0661029782492229,0.0,0.0,0.0003247469797466
136,0.0,0.0008145609411139,0.0381840718119501,0.0787500790222409
137,0.0,0.0,0.0,0.0119150354216599
138,0.0311124514000633,0.0151403731604767,0.0306585795320841,0.0089343963003032
139,0.0836466166014895,0.0,0.1878915500585505,0.3027219004729932
140,0.2195600837275445,0.0,0.07722116497246981,0.0
141,0.0106279747562845,0.0096292729799289,0.0104441767119862,0.050088540512878
142,0.0,0.0,0.0,0.0
143,0.0,0.021428572450425,0.0511207097375468,0.0
144,0.4079687154016092,0.1430691997292901,0.0575914135357822,0.0
145,0.0,0.0,0.0,0.0
146,0.0310108734195078,0.0333443691565143,0.1962726708241941,0.0
147,0.0728855822998112,0.0233125507347935,0.6468628850455768,0.0
148,0.0,0.0,0.0,0.29450324332386
149,0.0,0.0101738324694456,0.0048228439136533,0.0
150,0.025819288853307,0.109500134522128,0.1501744651231848,0.0
151,0.0,0.0113937816513061,0.10960832626843649,0.088947321156064
152,0.0119682943815352,0.0827158147914476,0.1041583099894193,0.0065152123726794
153,0.3748181540554927,0.0001187910565093,0.0,0.0
154,0.0447559982562913,0.0,0.009251700550982,0.0
155,0.1133425734855021,0.5401970575572907,0.0,0.0
156,0.0,0.049413063734004996,0.041977157594074305,0.0
157,0.2698832203635763,0.0049007889933192,0.0394122584623534,0.1735203390023671
158,0.24602857858079932,0.0638614520246265,0.11442028191817,0.0
159,0.0,0.1286057690919773,0.0183657172991039,0.009971509905751
160,0.0,0.0,0.0634877318056287,0.13600930939214512
161,0.0292025110311996,0.1188907710456043,0.06795119792520349,0.0912378415062523
162,0.0,0.0,0.8365431098341153,0.0
163,0.0194761747586974,0.0822028435295808,0.09382801288817269,0.1270781846323169
164,0.1498582236262777,0.0507433735913975,0.0434173663660564,0.0
165,0.0236885840844527,0.0,0.0,0.0041458834023367
166,0.0,0.0,0.0,0.0
167,0.0518814602356269,0.0,0.0,0.1504724960462715
168,0.0,0.1018341066617161,0.0,0.036771579062644805
169,0.14309360439060562,0.0377263585363,0.0961883972656162,0.0060475851193477
170,0.0,0.0,0.0,0.020527223458587998
171,0.0113844839025601,0.0,0.0563720166509269,0.009486861893412
172,0.059572790851756194,0.1742475078286537,0.0,0.0
173,0.0,0.0,0.0,0.0
174,0.0,0.0331259463667125,0.0131053067551827,0.0
175,0.0,0.0,0.0005736552824734,0.0042698734210991
176,0.0,0.0,0.0,0.0
177,0.1135355699875396,0.0,0.0429206498367074,0.0
178,0.0189884903084892,0.0038882266977733,0.0,0.0
179,0.0,0.0,0.0450726139631798,0.022932732310964002
180,0.0,0.0060234926485096,0.0,0.0656509711254918
181,0.0,0.0011017008505233,0.20160572282021938,0.0
182,0.0218578889198186,0.0,0.3901773785270981,0.0703231090295057
183,0.0,0.09190519872595179,0.0080700906868248,0.0
184,0.0321969921079861,0.0,0.3139011857287271,0.3413464622092107
185,0.0,0.060853530013254,0.3056003669790101,0.2129690765906246
186,0.0482302999733978,0.0,0.0,0.0191750875659501
187,0.0,0.0,0.17632987390693539,0.0879855763727956
188,0.0267261398735808,0.27857475211896154,0.0,0.0205980063286072
189,0.0987960285664195,0.0,0.2088704139494187,0.0
190,0.0,0.0,0.0133680442316712,0.0
191,0.0,0.0181135988289342,0.0,0.0023616741492161
192,0.0,0.0,3.1827139049054978,0.0
193,0.0497048689196842,0.0,0.0241732112972544,0.0
194,0.2324129015859196,0.0434042532715166,0.2332457529521506,0.0912295345540726
195,0.047673094388523296,0.0,0.0251463210475441,0.0151392163362803
196,0.0,0.0730116770834665,0.0525614797636016,0.0490541566362027
197,0.0,0.0,0.0445245171999579,6.628957009194303e-05
198,0.0,0.0,0.0,0.0278749275087304
199,0.21659653706161708,0.1605061603367425,0.0,0.0
200,0.0,0.0114121508809219,0.0739187418044578,0.0260228034514564
201,0.0785035602652032,0.0400952378202552,0.064324111501456,0.0468773183546307
202,0.0,0.1873551632500415,0.0,0.0551719637970853
203,0.0206862405904193,0.0342234363166276,0.0018772150493945,0.0231620040030236
204,0.0,0.0,0.0,0.0729698455095982
205,0.0,0.5818453761564857,0.0073390530267979,0.0
206,0.0188986993676135,0.043174999683729495,0.0,0.016244807400976998
207,0.0777606576715405,0.0,0.059981260335086495,0.0
208,0.0337096032163416,0.0,0.0445789975221074,0.014432891571452
209,0.0196441841551884,0.0169692517586886,0.0,0.0471105945189044
210,0.026533148586121602,0.0,0.059537258774828794,0.0
211,0.0089608324815377,0.0032513729084212,0.0241884448633653,0.0
212,0.0626107168187472,0.0,0.0792725752900872,0.0100227511141347
213,0.0489526989289243,0.0495315222093035,0.1485217230707333,0.2158277415605265
214,0.1019047619528967,0.1419578139233036,0.1446797971474297,0.1838626896726561
215,0.3565193369090762,0.1038543963004318,0.0,0.3914916005936826
216,0.1099588752932205,0.0,0.0375854900199165,0.19955278982245572
217,0.3995725036900789,0.5538422522496222,0.7795871378751693,0.1283340320874718
218,0.1147950089516236,0.1022640195096356,0.21648272409300162,0.18567982266487532
219,0.0055066247915633,0.05387549521621395,0.0236458233815534,0.0470131246690674
220,0.0,9.250312182906839e-10,0.1383547515140944,0.0308716706463529
221,0.1133392316243296,0.0848093434164643,0.0183816186193813,0.0353543784900569
222,0.0491058447324542,0.0,0.0467693580754763,0.0114059550920805
223,0.11079122114054961,0.0525407873192099,0.0183240405458839,0.0897552485170379
224,0.0,0.058323404837208,0.0,0.1133458102085455
225,0.0,0.0287730728343058,0.19792390840238572,0.0
226,0.0648420231363177,0.0,0.0680771491988025,0.0
227,0.1466511175391791,0.0417483563848362,0.0263514036408359,0.11841624823580141
228,0.3754836701156738,0.2213589560679909,0.1383491958925131,0.29855617123842315
229,0.0,0.1400002397497022,0.0610740818941435,0.0
230,0.1310561949640189,0.0256029682509464,0.0855419458136534,0.0
231,0.0059067101178354,0.0236802416618205,0.0574756540561125,0.05754055278701059
232,0.0661036004056411,0.08496971386818611,0.0,0.4471311498804338
233,0.1805526395791939,0.0,0.0,0.0
234,0.0151406385492047,0.0940530239697745,0.0437488560044948,0.1004111468950403
235,0.026041028713593,0.0,0.0151154347436895,0.0
236,0.0128205122822583,0.0256410260731243,0.12317423572002009,0.1966620090059013
237,0.17423425137609339,0.0603525159190492,0.1160673571350004,0.0933641035134774
238,0.0,0.0801125581715192,0.0791962712993295,0.0485813775069345
239,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0093795563523025,0.0388276254695001
241,0.0054794520547944,0.0006501044666448,0.0,0.0
242,0.015805457218048,0.0,0.0074756738868947,0.0
243,0.06949272599703961,0.11036222074676151,0.0332796199200886,0.0
244,0.012458664762692,0.0,0.0249921563408813,0.0
