,Unknown,Pre-1900s,20th century,21st century
148,0.1,0.9,0.0,0.0
149,0.2,0.8,0.0,0.0
150,0.4,0.0,0.3,0.3
151,1.0,0.0,0.0,0.0
152,0.1,0.0,0.5,0.4
153,0.6,0.0,0.4,0.0
154,0.0,1.0,0.0,0.0
155,1.0,0.0,0.0,0.0
156,0.8,0.0,0.2,0.0
157,0.4,0.0,0.5,0.1
158,0.0,0.0,0.5,0.5
159,0.2,0.0,0.8,0.0
160,0.6,0.1,0.3,0.0
161,0.3,0.0,0.2,0.5
162,1.0,0.0,0.0,0.0
163,0.3,0.0,0.6,0.1
164,0.0,0.9,0.1,0.0
165,1.0,0.0,0.0,0.0
166,0.3,0.7,0.0,0.0
167,0.2,0.1,0.7,0.0
168,0.1,0.0,0.6,0.3
169,0.1,0.0,0.9,0.0
170,0.2,0.8,0.0,0.0
171,0.6,0.1,0.3,0.0
172,0.5,0.0,0.4,0.1
173,1.0,0.0,0.0,0.0
174,1.0,0.0,0.0,0.0
175,0.2,0.1,0.1,0.6
176,0.4,0.0,0.2,0.4
177,0.1,0.9,0.0,0.0
178,0.3,0.7,0.0,0.0
179,0.1,0.0,0.9,0.0
180,0.5,0.5,0.0,0.0
181,0.4,0.0,0.4,0.2
182,0.9,0.0,0.1,0.0
183,0.9,0.0,0.0,0.1
184,0.0,0.0,1.0,0.0
185,1.0,0.0,0.0,0.0
186,0.0,0.0,1.0,0.0
187,0.4,0.0,0.0,0.6
188,0.9,0.0,0.1,0.0
189,0.0,1.0,0.0,0.0
190,0.1,0.9,0.0,0.0
191,0.0,0.2,0.8,0.0
192,1.0,0.0,0.0,0.0
193,0.0,0.0,1.0,0.0
194,0.0,0.0,0.0,1.0
195,1.0,0.0,0.0,0.0
196,0.6,0.3,0.1,0.0
197,0.2,0.8,0.0,0.0
198,0.6,0.0,0.3,0.1
199,1.0,0.0,0.0,0.0
200,0.1,0.9,0.0,0.0
201,0.7,0.0,0.3,0.0
202,0.1,0.0,0.9,0.0
203,0.4,0.1,0.4,0.1
204,0.4,0.1,0.5,0.0
205,0.7,0.1,0.2,0.0
206,0.0,0.1,0.9,0.0
207,0.1,0.0,0.7,0.2
208,0.4,0.6,0.0,0.0
209,0.1,0.0,0.9,0.0
210,0.2,0.8,0.0,0.0
211,0.0,0.2,0.8,0.0
212,0.6,0.0,0.1,0.3
213,0.6,0.0,0.4,0.0
214,0.5,0.0,0.5,0.0
215,0.0,1.0,0.0,0.0
216,0.0,0.0,0.7,0.3
217,0.1,0.0,0.0,0.9
218,0.9,0.0,0.1,0.0
219,0.2,0.0,0.7,0.1
220,0.3,0.0,0.1,0.6
221,0.0,0.0,0.5,0.5
222,1.0,0.0,0.0,0.0
223,1.0,0.0,0.0,0.0
224,0.1,0.0,0.8,0.1
225,0.0,0.3,0.7,0.0
226,0.2,0.7,0.1,0.0
227,0.5,0.0,0.5,0.0
228,0.0,0.0,1.0,0.0
229,0.5,0.3,0.2,0.0
230,0.4,0.5,0.0,0.1
231,1.0,0.0,0.0,0.0
232,0.0,0.0,1.0,0.0
233,1.0,0.0,0.0,0.0
234,0.0,0.0,0.8,0.2
235,0.3,0.5,0.2,0.0
236,0.0,0.9,0.1,0.0
237,1.0,0.0,0.0,0.0
238,0.4,0.0,0.5,0.1
239,0.0,0.0,1.0,0.0
240,0.2,0.5,0.3,0.0
241,0.0,0.0,0.9,0.1
242,0.5,0.0,0.2,0.3
243,0.0,0.2,0.8,0.0
244,0.0,0.0,1.0,0.0
