,s-,l-r,a-d,e-k
64,0.0,0.7,0.3,0.0
65,0.2,0.4,0.2,0.2
66,0.4,0.2,0.1,0.3
67,0.3,0.3,0.2,0.2
68,0.1,0.2,0.2,0.5
69,0.8,0.2,0.0,0.0
70,0.0,0.8,0.1,0.1
71,0.5,0.1,0.2,0.2
72,0.2,0.1,0.6,0.1
73,0.6,0.2,0.1,0.1
74,0.2,0.2,0.3,0.3
75,0.0,0.1,0.4,0.5
76,0.2,0.3,0.4,0.1
77,0.2,0.6,0.1,0.1
78,0.3,0.0,0.4,0.3
79,0.1,0.4,0.2,0.3
80,0.3,0.5,0.1,0.1
81,0.0,0.4,0.5,0.1
82,0.1,0.5,0.3,0.1
83,0.2,0.0,0.7,0.1
84,0.2,0.1,0.2,0.5
85,0.2,0.2,0.2,0.4
86,0.1,0.9,0.0,0.0
87,0.1,0.7,0.1,0.1
88,0.2,0.1,0.4,0.3
89,0.3,0.3,0.0,0.4
90,0.2,0.3,0.2,0.3
91,0.3,0.1,0.1,0.5
92,0.3,0.1,0.5,0.1
93,0.1,0.6,0.1,0.2
94,0.1,0.2,0.2,0.5
95,0.3,0.6,0.0,0.1
96,0.7,0.1,0.2,0.0
97,0.1,0.1,0.1,0.7
98,0.0,0.7,0.1,0.2
99,0.0,0.0,1.0,0.0
100,0.1,0.3,0.0,0.6
101,0.3,0.0,0.4,0.3
102,0.0,0.3,0.7,0.0
103,0.1,0.1,0.7,0.1
104,0.1,0.4,0.3,0.2
105,0.1,0.1,0.0,0.8
106,0.2,0.1,0.6,0.1
107,0.3,0.2,0.2,0.3
108,0.0,0.1,0.3,0.6
109,0.2,0.2,0.6,0.0
110,0.0,0.1,0.4,0.5
111,0.5,0.2,0.2,0.1
112,0.3,0.0,0.2,0.5
113,0.5,0.4,0.1,0.0
114,0.3,0.3,0.3,0.1
115,0.1,0.2,0.6,0.1
116,0.8,0.1,0.1,0.0
117,0.1,0.4,0.1,0.4
118,0.0,1.0,0.0,0.0
119,0.0,0.4,0.1,0.5
120,0.1,0.0,0.9,0.0
121,0.0,0.6,0.2,0.2
122,0.6,0.0,0.3,0.1
123,0.3,0.1,0.3,0.3
124,0.7,0.0,0.1,0.2
125,0.3,0.3,0.4,0.0
126,0.1,0.2,0.6,0.1
127,0.5,0.0,0.1,0.4
128,0.0,0.0,0.2,0.8
129,0.5,0.2,0.1,0.2
130,0.0,0.0,0.9,0.1
131,0.6,0.2,0.0,0.2
132,0.1,0.4,0.2,0.3
133,0.1,0.0,0.8,0.1
134,0.5,0.1,0.0,0.4
135,0.2,0.6,0.2,0.0
136,0.0,0.9,0.0,0.1
137,0.1,0.1,0.7,0.1
138,0.6,0.2,0.2,0.0
139,0.1,0.2,0.1,0.6
140,0.1,0.2,0.3,0.4
141,0.1,0.7,0.2,0.0
142,0.1,0.8,0.0,0.1
143,0.5,0.2,0.2,0.1
144,0.3,0.3,0.1,0.3
145,0.2,0.3,0.2,0.3
146,0.4,0.1,0.1,0.4
147,0.2,0.3,0.2,0.3
148,0.0,0.1,0.7,0.2
149,0.1,0.2,0.5,0.2
150,0.7,0.2,0.1,0.0
151,0.8,0.1,0.0,0.1
152,0.2,0.2,0.4,0.2
153,0.2,0.1,0.4,0.3
154,0.3,0.4,0.2,0.1
155,0.0,0.2,0.4,0.4
156,0.0,0.2,0.7,0.1
157,0.1,0.0,0.7,0.2
158,0.1,0.3,0.6,0.0
