,a-d,e-k,s-,l-r
136,0.6,0.2,0.1,0.1
137,0.0,0.0,1.0,0.0
138,0.2,0.4,0.3,0.1
139,0.1,0.6,0.1,0.2
140,0.9,0.0,0.1,0.0
141,0.8,0.1,0.1,0.0
142,0.0,0.2,0.4,0.4
143,0.5,0.1,0.2,0.2
144,0.2,0.1,0.3,0.4
145,0.6,0.1,0.1,0.2
146,0.8,0.1,0.0,0.1
147,0.6,0.0,0.0,0.4
148,0.4,0.2,0.3,0.1
149,0.9,0.0,0.1,0.0
150,0.6,0.1,0.0,0.3
151,0.8,0.0,0.1,0.1
152,0.3,0.4,0.2,0.1
153,0.1,0.2,0.1,0.6
154,0.2,0.8,0.0,0.0
155,0.0,0.2,0.6,0.2
156,0.0,0.1,0.7,0.2
157,0.0,0.4,0.2,0.4
158,0.0,0.5,0.2,0.3
159,0.6,0.1,0.1,0.2
160,0.1,0.4,0.2,0.3
161,0.1,0.3,0.5,0.1
162,0.4,0.4,0.2,0.0
163,0.6,0.1,0.1,0.2
164,0.0,0.0,0.1,0.9
165,0.6,0.1,0.2,0.1
166,0.7,0.0,0.1,0.2
167,0.0,0.5,0.1,0.4
168,0.0,0.5,0.0,0.5
169,0.0,0.0,0.3,0.7
170,0.2,0.1,0.4,0.3
171,0.2,0.2,0.3,0.3
172,0.1,0.0,0.7,0.2
173,0.0,1.0,0.0,0.0
174,0.0,0.0,0.9,0.1
175,0.2,0.3,0.1,0.4
176,0.4,0.0,0.1,0.5
177,1.0,0.0,0.0,0.0
178,0.1,0.2,0.5,0.2
179,0.2,0.3,0.2,0.3
180,0.0,0.1,0.9,0.0
181,1.0,0.0,0.0,0.0
182,0.4,0.2,0.3,0.1
183,0.2,0.0,0.8,0.0
184,0.2,0.8,0.0,0.0
185,0.1,0.0,0.8,0.1
186,0.1,0.1,0.0,0.8
187,0.7,0.3,0.0,0.0
188,0.2,0.2,0.6,0.0
189,0.1,0.2,0.6,0.1
190,0.1,0.2,0.1,0.6
191,0.3,0.2,0.5,0.0
192,0.9,0.0,0.1,0.0
193,0.3,0.1,0.6,0.0
194,0.1,0.2,0.4,0.3
195,0.0,0.1,0.1,0.8
196,0.5,0.3,0.2,0.0
197,0.9,0.0,0.0,0.1
198,0.3,0.5,0.2,0.0
199,0.2,0.1,0.1,0.6
200,0.6,0.1,0.0,0.3
201,0.3,0.5,0.1,0.1
202,0.2,0.2,0.3,0.3
203,0.0,0.3,0.6,0.1
204,0.6,0.2,0.0,0.2
205,0.0,0.0,0.7,0.3
206,0.1,0.3,0.2,0.4
207,0.5,0.2,0.0,0.3
208,0.5,0.3,0.2,0.0
209,0.0,0.6,0.2,0.2
210,0.7,0.1,0.1,0.1
211,0.1,0.0,0.0,0.9
212,0.2,0.2,0.0,0.6
213,0.3,0.2,0.3,0.2
214,0.4,0.0,0.1,0.5
215,0.0,0.6,0.2,0.2
216,0.0,0.7,0.1,0.2
217,0.2,0.2,0.2,0.4
218,0.0,0.0,1.0,0.0
219,0.2,0.0,0.7,0.1
220,0.9,0.0,0.0,0.1
221,0.1,0.3,0.3,0.3
222,0.7,0.1,0.0,0.2
223,0.2,0.5,0.1,0.2
224,0.0,0.6,0.2,0.2
225,0.6,0.2,0.1,0.1
226,0.5,0.3,0.1,0.1
227,0.1,0.7,0.2,0.0
228,0.1,0.7,0.1,0.1
229,1.0,0.0,0.0,0.0
230,0.1,0.1,0.2,0.6
231,0.0,0.9,0.0,0.1
232,0.2,0.8,0.0,0.0
233,0.0,0.1,0.0,0.9
234,0.2,0.3,0.5,0.0
235,0.2,0.1,0.7,0.0
236,0.1,0.4,0.2,0.3
237,0.5,0.2,0.2,0.1
238,0.0,0.1,0.7,0.2
239,0.2,0.6,0.1,0.1
240,0.5,0.1,0.3,0.1
241,0.1,0.0,0.1,0.8
242,0.9,0.0,0.0,0.1
243,0.2,0.5,0.1,0.2
244,0.7,0.1,0.0,0.2
