,a-d,l-r,s-,e-k
95,0.2,0.2,0.2,0.4
96,0.3,0.0,0.6,0.1
97,0.0,0.6,0.1,0.3
98,0.0,1.0,0.0,0.0
99,0.9,0.0,0.1,0.0
100,0.3,0.5,0.0,0.2
101,0.2,0.3,0.3,0.2
102,0.0,1.0,0.0,0.0
103,0.5,0.2,0.1,0.2
104,0.1,0.6,0.2,0.1
105,0.1,0.1,0.1,0.7
106,0.1,0.4,0.3,0.2
107,0.1,0.3,0.3,0.3
108,0.0,0.2,0.2,0.6
109,0.5,0.0,0.5,0.0
110,0.3,0.0,0.0,0.7
111,0.0,0.3,0.5,0.2
112,0.0,0.4,0.2,0.4
113,0.1,0.2,0.6,0.1
114,0.3,0.4,0.1,0.2
115,0.6,0.3,0.0,0.1
116,0.3,0.0,0.7,0.0
117,0.2,0.2,0.2,0.4
118,0.0,1.0,0.0,0.0
119,0.2,0.4,0.1,0.3
120,0.7,0.0,0.2,0.1
121,0.4,0.5,0.0,0.1
122,0.4,0.0,0.3,0.3
123,0.3,0.2,0.5,0.0
124,0.1,0.2,0.5,0.2
125,0.5,0.2,0.1,0.2
126,0.4,0.2,0.3,0.1
127,0.2,0.2,0.1,0.5
128,0.3,0.2,0.4,0.1
129,0.0,0.9,0.1,0.0
130,0.8,0.1,0.1,0.0
131,0.0,0.3,0.5,0.2
132,0.2,0.2,0.6,0.0
133,0.4,0.3,0.2,0.1
134,0.0,0.0,0.3,0.7
135,0.0,0.9,0.1,0.0
136,0.3,0.6,0.1,0.0
137,0.7,0.0,0.2,0.1
138,0.1,0.2,0.6,0.1
139,0.3,0.4,0.1,0.2
140,0.1,0.1,0.3,0.5
141,0.1,0.5,0.2,0.2
142,0.2,0.4,0.2,0.2
143,0.2,0.2,0.4,0.2
144,0.2,0.3,0.2,0.3
145,0.3,0.3,0.2,0.2
146,0.4,0.1,0.3,0.2
147,0.3,0.4,0.2,0.1
148,0.4,0.1,0.0,0.5
149,0.5,0.2,0.2,0.1
150,0.0,0.2,0.6,0.2
151,0.0,0.9,0.1,0.0
152,0.1,0.0,0.3,0.6
153,0.4,0.2,0.3,0.1
154,0.3,0.6,0.0,0.1
155,0.2,0.5,0.1,0.2
156,0.7,0.1,0.0,0.2
157,0.1,0.4,0.2,0.3
158,0.4,0.3,0.1,0.2
