,a-d,e-k,s-,l-r
102,0.0,0.0,0.1,0.9
103,0.7,0.1,0.1,0.1
104,0.2,0.4,0.1,0.3
105,0.1,0.4,0.3,0.2
106,0.2,0.2,0.3,0.3
107,0.3,0.1,0.2,0.4
108,0.1,0.2,0.6,0.1
109,0.6,0.0,0.2,0.2
110,0.2,0.7,0.0,0.1
111,0.2,0.3,0.3,0.2
112,0.2,0.1,0.3,0.4
113,0.2,0.1,0.4,0.3
114,0.4,0.1,0.2,0.3
115,0.2,0.2,0.2,0.4
116,0.1,0.2,0.5,0.2
117,0.0,0.5,0.0,0.5
118,0.1,0.0,0.0,0.9
119,0.3,0.5,0.1,0.1
120,0.2,0.3,0.4,0.1
121,0.2,0.3,0.2,0.3
122,0.6,0.2,0.0,0.2
123,0.2,0.1,0.3,0.4
124,0.5,0.0,0.3,0.2
125,0.4,0.3,0.1,0.2
126,0.3,0.2,0.3,0.2
127,0.1,0.7,0.1,0.1
128,0.4,0.3,0.0,0.3
129,0.1,0.1,0.3,0.5
130,0.3,0.2,0.2,0.3
131,0.1,0.3,0.4,0.2
132,0.0,0.2,0.4,0.4
133,0.5,0.1,0.1,0.3
134,0.0,0.6,0.3,0.1
135,0.2,0.1,0.1,0.6
136,0.4,0.1,0.0,0.5
137,0.2,0.1,0.2,0.5
138,0.2,0.2,0.4,0.2
139,0.1,0.7,0.1,0.1
140,0.4,0.3,0.1,0.2
141,0.3,0.1,0.2,0.4
142,0.3,0.1,0.4,0.2
143,0.1,0.1,0.5,0.3
144,0.2,0.2,0.4,0.2
145,0.1,0.2,0.4,0.3
146,0.4,0.2,0.3,0.1
147,0.0,0.2,0.2,0.6
148,0.5,0.2,0.0,0.3
149,0.4,0.1,0.1,0.4
150,0.4,0.2,0.2,0.2
151,0.0,0.2,0.3,0.5
152,0.5,0.2,0.0,0.3
153,0.3,0.4,0.1,0.2
154,0.3,0.2,0.4,0.1
155,0.3,0.3,0.2,0.2
156,0.2,0.4,0.3,0.1
157,0.3,0.4,0.0,0.3
158,0.5,0.3,0.2,0.0
