,s-,l-r,e-k,a-d
88,0.7,0.0,0.1,0.2
89,0.1,0.6,0.0,0.3
90,0.1,0.3,0.6,0.0
91,0.1,0.0,0.9,0.0
92,0.6,0.2,0.0,0.2
93,0.1,0.3,0.3,0.3
94,0.1,0.2,0.4,0.3
95,0.3,0.2,0.4,0.1
96,0.1,0.5,0.2,0.2
97,0.5,0.3,0.2,0.0
98,0.3,0.3,0.0,0.4
99,0.2,0.2,0.3,0.3
100,0.1,0.6,0.3,0.0
101,0.0,0.5,0.1,0.4
102,0.2,0.5,0.2,0.1
103,0.1,0.6,0.1,0.2
104,0.4,0.0,0.5,0.1
105,0.1,0.3,0.2,0.4
106,0.1,0.2,0.3,0.4
107,0.1,0.1,0.3,0.5
108,0.1,0.2,0.3,0.4
109,0.3,0.3,0.0,0.4
110,0.8,0.0,0.2,0.0
111,0.0,0.4,0.1,0.5
112,0.1,0.0,0.4,0.5
113,0.0,0.1,0.0,0.9
114,0.6,0.0,0.0,0.4
115,0.2,0.4,0.3,0.1
116,0.6,0.3,0.1,0.0
117,0.0,0.4,0.6,0.0
118,0.6,0.1,0.3,0.0
119,0.1,0.1,0.1,0.7
120,0.0,1.0,0.0,0.0
121,0.4,0.2,0.3,0.1
122,0.2,0.4,0.1,0.3
123,0.0,0.5,0.3,0.2
124,0.1,0.7,0.0,0.2
125,0.2,0.3,0.4,0.1
126,0.2,0.3,0.3,0.2
127,0.1,0.4,0.2,0.3
128,0.1,0.3,0.2,0.4
129,0.0,0.1,0.3,0.6
130,0.0,0.0,0.9,0.1
131,0.0,0.4,0.2,0.4
132,0.6,0.0,0.3,0.1
133,0.1,0.4,0.0,0.5
134,0.1,0.4,0.4,0.1
135,0.1,0.5,0.1,0.3
136,0.2,0.2,0.4,0.2
137,0.7,0.0,0.2,0.1
138,0.2,0.4,0.2,0.2
139,0.0,0.1,0.7,0.2
140,0.0,0.8,0.0,0.2
141,0.1,0.1,0.4,0.4
142,0.2,0.3,0.3,0.2
143,0.2,0.2,0.2,0.4
144,0.2,0.6,0.0,0.2
145,0.1,0.8,0.0,0.1
146,0.2,0.2,0.0,0.6
147,0.2,0.2,0.0,0.6
148,0.5,0.0,0.2,0.3
149,0.9,0.0,0.0,0.1
150,0.3,0.2,0.1,0.4
151,0.1,0.1,0.4,0.4
152,0.1,0.3,0.2,0.4
153,0.2,0.5,0.2,0.1
154,0.2,0.3,0.4,0.1
155,0.7,0.2,0.1,0.0
156,0.7,0.1,0.0,0.2
157,0.1,0.4,0.3,0.2
158,0.1,0.4,0.0,0.5
159,0.2,0.2,0.2,0.4
160,0.1,0.3,0.4,0.2
161,0.3,0.2,0.2,0.3
162,0.2,0.1,0.3,0.4
163,0.3,0.2,0.2,0.3
164,0.2,0.7,0.0,0.1
165,0.1,0.3,0.4,0.2
166,0.6,0.0,0.0,0.4
167,0.0,0.5,0.5,0.0
168,0.3,0.1,0.6,0.0
169,0.2,0.4,0.1,0.3
170,0.0,0.4,0.3,0.3
171,0.1,0.5,0.2,0.2
172,0.7,0.3,0.0,0.0
173,0.0,0.0,0.9,0.1
174,0.2,0.3,0.3,0.2
175,0.3,0.3,0.1,0.3
176,0.1,0.4,0.3,0.2
177,0.0,0.8,0.0,0.2
178,0.6,0.4,0.0,0.0
179,0.1,0.1,0.4,0.4
180,0.2,0.2,0.6,0.0
181,0.1,0.0,0.0,0.9
182,0.1,0.2,0.3,0.4
183,0.4,0.1,0.1,0.4
184,0.1,0.1,0.6,0.2
185,0.2,0.2,0.2,0.4
186,0.1,0.4,0.5,0.0
187,0.0,0.2,0.2,0.6
188,0.8,0.1,0.1,0.0
189,0.0,0.3,0.0,0.7
190,0.2,0.1,0.0,0.7
191,0.6,0.1,0.3,0.0
192,0.0,0.0,0.0,1.0
193,0.1,0.3,0.2,0.4
194,0.2,0.2,0.2,0.4
195,0.0,0.4,0.3,0.3
196,0.2,0.0,0.5,0.3
197,0.1,0.0,0.6,0.3
198,0.0,0.2,0.6,0.2
199,0.2,0.6,0.1,0.1
200,0.3,0.0,0.3,0.4
201,0.2,0.3,0.2,0.3
202,0.6,0.0,0.3,0.1
203,0.4,0.2,0.3,0.1
204,0.1,0.1,0.3,0.5
205,0.7,0.2,0.0,0.1
206,0.3,0.2,0.4,0.1
207,0.1,0.4,0.3,0.2
208,0.1,0.3,0.3,0.3
209,0.1,0.2,0.5,0.2
210,0.0,0.2,0.1,0.7
211,0.2,0.2,0.1,0.5
212,0.1,0.4,0.3,0.2
213,0.1,0.1,0.4,0.4
214,0.2,0.2,0.4,0.2
215,0.2,0.4,0.4,0.0
216,0.0,0.2,0.6,0.2
217,0.3,0.2,0.1,0.4
218,0.1,0.1,0.4,0.4
219,0.4,0.1,0.4,0.1
220,0.1,0.2,0.1,0.6
221,0.4,0.2,0.3,0.1
222,0.1,0.2,0.3,0.4
223,0.1,0.3,0.5,0.1
224,0.2,0.2,0.6,0.0
225,0.1,0.0,0.0,0.9
226,0.1,0.5,0.0,0.4
227,0.3,0.2,0.4,0.1
228,0.2,0.3,0.2,0.3
229,0.1,0.0,0.0,0.9
230,0.3,0.4,0.1,0.2
231,0.1,0.1,0.6,0.2
232,0.3,0.1,0.6,0.0
233,0.0,0.9,0.0,0.1
234,0.2,0.3,0.3,0.2
235,0.6,0.1,0.2,0.1
236,0.2,0.1,0.4,0.3
237,0.1,0.4,0.2,0.3
238,0.4,0.0,0.3,0.3
239,0.3,0.2,0.2,0.3
240,0.1,0.2,0.3,0.4
241,0.4,0.3,0.0,0.3
242,0.0,0.3,0.1,0.6
243,0.3,0.4,0.0,0.3
244,0.0,0.6,0.0,0.4
