,s-,e-k,a-d,l-r
74,0.1,0.1,0.5,0.3
75,0.2,0.1,0.4,0.3
76,0.0,0.1,0.5,0.4
77,0.2,0.1,0.3,0.4
78,0.1,0.0,0.0,0.9
79,0.3,0.4,0.0,0.3
80,0.3,0.2,0.3,0.2
81,0.1,0.1,0.0,0.8
82,0.1,0.0,0.8,0.1
83,0.2,0.0,0.8,0.0
84,0.0,0.7,0.2,0.1
85,0.1,0.8,0.0,0.1
86,0.3,0.1,0.3,0.3
87,0.3,0.1,0.4,0.2
88,0.1,0.1,0.8,0.0
89,0.0,0.1,0.8,0.1
90,0.2,0.8,0.0,0.0
91,0.2,0.7,0.0,0.1
92,0.7,0.2,0.1,0.0
93,0.2,0.3,0.2,0.3
94,0.5,0.4,0.0,0.1
95,0.3,0.3,0.2,0.2
96,0.1,0.3,0.3,0.3
97,0.4,0.6,0.0,0.0
98,0.3,0.2,0.3,0.2
99,0.1,0.1,0.2,0.6
100,0.2,0.1,0.3,0.4
101,0.1,0.0,0.5,0.4
102,0.2,0.3,0.0,0.5
103,0.1,0.3,0.1,0.5
104,0.4,0.2,0.3,0.1
105,0.5,0.1,0.2,0.2
106,0.0,0.6,0.3,0.1
107,0.2,0.2,0.4,0.2
108,0.1,0.4,0.5,0.0
109,0.4,0.2,0.4,0.0
110,0.8,0.2,0.0,0.0
111,0.1,0.0,0.6,0.3
112,0.1,0.3,0.4,0.2
113,0.0,0.0,1.0,0.0
114,0.7,0.0,0.1,0.2
115,0.5,0.2,0.0,0.3
116,0.3,0.1,0.2,0.4
117,0.2,0.0,0.1,0.7
118,0.3,0.5,0.1,0.1
119,0.1,0.2,0.3,0.4
120,0.0,0.1,0.0,0.9
121,0.0,0.4,0.1,0.5
122,0.1,0.3,0.4,0.2
123,0.1,0.0,0.2,0.7
124,0.0,0.0,0.0,1.0
125,0.3,0.3,0.1,0.3
126,0.2,0.1,0.4,0.3
127,0.2,0.4,0.2,0.2
128,0.3,0.2,0.3,0.2
129,0.0,0.0,0.0,1.0
130,0.1,0.8,0.1,0.0
131,0.1,0.4,0.2,0.3
132,0.4,0.2,0.2,0.2
133,0.2,0.0,0.5,0.3
134,0.2,0.5,0.1,0.2
135,0.2,0.1,0.1,0.6
136,0.4,0.3,0.1,0.2
137,0.8,0.1,0.0,0.1
138,0.2,0.7,0.0,0.1
139,0.1,0.7,0.1,0.1
140,0.1,0.4,0.3,0.2
141,0.2,0.1,0.4,0.3
142,0.3,0.1,0.1,0.5
143,0.2,0.3,0.3,0.2
144,0.2,0.3,0.1,0.4
145,0.4,0.2,0.3,0.1
146,0.1,0.0,0.8,0.1
147,0.0,0.0,0.7,0.3
148,0.4,0.3,0.1,0.2
149,0.1,0.1,0.8,0.0
150,0.0,0.3,0.3,0.4
151,0.0,0.1,0.7,0.2
152,0.3,0.3,0.3,0.1
153,0.0,0.3,0.0,0.7
154,0.4,0.3,0.2,0.1
155,0.9,0.0,0.0,0.1
156,0.6,0.1,0.1,0.2
157,0.5,0.1,0.1,0.3
158,0.0,0.7,0.3,0.0
159,0.1,0.2,0.2,0.5
160,0.0,0.0,0.1,0.9
161,0.2,0.1,0.2,0.5
162,0.4,0.2,0.4,0.0
163,0.1,0.1,0.6,0.2
164,0.1,0.3,0.1,0.5
165,0.2,0.1,0.4,0.3
166,0.3,0.2,0.3,0.2
167,0.1,0.5,0.0,0.4
168,0.5,0.5,0.0,0.0
169,0.6,0.1,0.2,0.1
170,0.5,0.1,0.2,0.2
171,0.0,0.2,0.2,0.6
172,0.6,0.2,0.2,0.0
173,0.0,1.0,0.0,0.0
174,0.6,0.1,0.1,0.2
175,0.3,0.0,0.3,0.4
176,0.0,0.4,0.2,0.4
177,0.0,0.0,0.9,0.1
178,0.4,0.3,0.3,0.0
179,0.7,0.1,0.2,0.0
180,0.6,0.2,0.0,0.2
181,0.0,0.0,1.0,0.0
182,0.2,0.3,0.4,0.1
183,0.2,0.5,0.3,0.0
184,0.4,0.4,0.1,0.1
185,0.3,0.4,0.1,0.2
186,0.4,0.4,0.0,0.2
187,0.0,0.2,0.8,0.0
188,0.8,0.2,0.0,0.0
189,0.7,0.0,0.2,0.1
190,0.0,0.1,0.8,0.1
191,0.1,0.2,0.3,0.4
192,0.0,0.0,1.0,0.0
193,0.3,0.3,0.1,0.3
194,0.4,0.4,0.1,0.1
195,0.0,0.0,0.1,0.9
196,0.2,0.4,0.4,0.0
197,0.2,0.1,0.6,0.1
198,0.0,0.6,0.4,0.0
199,0.1,0.2,0.0,0.7
200,0.1,0.1,0.3,0.5
201,0.2,0.1,0.3,0.4
202,0.2,0.5,0.3,0.0
203,0.4,0.5,0.0,0.1
204,0.2,0.4,0.3,0.1
205,0.6,0.1,0.0,0.3
206,0.4,0.3,0.2,0.1
207,0.4,0.5,0.0,0.1
208,0.6,0.1,0.2,0.1
209,0.2,0.3,0.2,0.3
210,0.3,0.4,0.1,0.2
211,0.0,0.4,0.2,0.4
212,0.4,0.1,0.4,0.1
213,0.2,0.4,0.1,0.3
214,0.2,0.2,0.3,0.3
215,0.2,0.4,0.1,0.3
216,0.1,0.3,0.3,0.3
217,0.5,0.2,0.2,0.1
218,0.9,0.0,0.0,0.1
219,0.9,0.1,0.0,0.0
220,0.0,0.2,0.5,0.3
221,0.1,0.6,0.2,0.1
222,0.2,0.0,0.5,0.3
223,0.2,0.2,0.2,0.4
224,0.4,0.4,0.0,0.2
225,0.5,0.1,0.2,0.2
226,0.0,0.9,0.0,0.1
227,0.1,0.4,0.2,0.3
228,0.5,0.3,0.1,0.1
229,0.1,0.0,0.9,0.0
230,0.3,0.2,0.3,0.2
231,0.6,0.4,0.0,0.0
232,0.5,0.3,0.1,0.1
233,0.1,0.0,0.4,0.5
234,0.9,0.1,0.0,0.0
235,0.6,0.1,0.2,0.1
236,0.3,0.6,0.0,0.1
237,0.1,0.4,0.2,0.3
238,0.3,0.1,0.3,0.3
239,0.2,0.3,0.3,0.2
240,0.2,0.4,0.3,0.1
241,0.8,0.0,0.0,0.2
242,0.1,0.1,0.5,0.3
243,0.2,0.5,0.3,0.0
244,0.0,0.3,0.5,0.2
