,Medium-Low,High,Medium-High,Low
141,0.0,0.0,0.0,1.0
142,0.1,0.0,0.0,0.9
143,0.3,0.1,0.2,0.4
144,0.1,0.0,0.1,0.8
145,0.3,0.0,0.3,0.4
146,0.1,0.0,0.0,0.9
147,0.1,0.0,0.1,0.8
148,0.1,0.1,0.0,0.8
149,0.2,0.0,0.0,0.8
150,0.1,0.0,0.1,0.8
151,0.5,0.0,0.3,0.2
152,0.6,0.0,0.0,0.4
153,0.4,0.0,0.4,0.2
154,0.0,0.0,0.0,1.0
155,0.2,0.0,0.0,0.8
156,0.4,0.0,0.1,0.5
157,0.2,0.0,0.1,0.7
158,0.0,0.0,0.1,0.9
159,0.1,0.0,0.1,0.8
160,0.3,0.0,0.0,0.7
161,0.4,0.0,0.1,0.5
162,0.3,0.0,0.3,0.4
163,0.1,0.0,0.0,0.9
164,0.1,0.1,0.0,0.8
165,0.3,0.0,0.1,0.6
166,0.0,0.0,0.0,1.0
167,0.1,0.0,0.0,0.9
168,0.2,0.1,0.1,0.6
169,0.2,0.0,0.0,0.8
170,0.1,0.0,0.2,0.7
171,0.1,0.0,0.1,0.8
172,0.3,0.0,0.1,0.6
173,0.0,0.0,0.0,1.0
174,0.3,0.0,0.0,0.7
175,0.5,0.0,0.1,0.4
176,0.3,0.1,0.2,0.4
177,0.0,0.0,0.0,1.0
178,0.1,0.0,0.0,0.9
179,0.1,0.1,0.0,0.8
180,0.2,0.0,0.0,0.8
181,0.0,0.0,0.4,0.6
182,0.3,0.0,0.0,0.7
183,0.0,0.0,0.0,1.0
184,0.2,0.0,0.0,0.8
185,0.2,0.0,0.1,0.7
186,0.2,0.0,0.0,0.8
187,0.0,0.0,0.1,0.9
188,0.5,0.0,0.3,0.2
189,0.1,0.0,0.1,0.8
190,0.2,0.0,0.0,0.8
191,0.1,0.0,0.1,0.8
192,0.2,0.0,0.0,0.8
193,0.1,0.0,0.1,0.8
194,0.3,0.0,0.3,0.4
195,0.0,0.0,0.0,1.0
196,0.1,0.0,0.0,0.9
197,0.6,0.0,0.3,0.1
198,0.3,0.0,0.1,0.6
199,0.3,0.0,0.1,0.6
200,0.0,0.0,0.0,1.0
201,0.3,0.1,0.0,0.6
202,0.0,0.0,0.0,1.0
203,0.2,0.0,0.0,0.8
204,0.0,0.0,0.0,1.0
205,0.1,0.1,0.8,0.0
206,0.1,0.0,0.0,0.9
207,0.2,0.0,0.0,0.8
208,0.1,0.0,0.0,0.9
209,0.0,0.0,0.0,1.0
210,0.0,0.0,0.1,0.9
211,0.2,0.0,0.0,0.8
212,0.1,0.0,0.0,0.9
213,0.5,0.0,0.1,0.4
214,0.3,0.0,0.0,0.7
215,0.3,0.0,0.0,0.7
216,0.3,0.0,0.0,0.7
217,0.2,0.2,0.1,0.5
218,0.3,0.0,0.0,0.7
219,0.0,0.0,0.0,1.0
220,0.2,0.0,0.0,0.8
221,0.2,0.0,0.2,0.6
222,0.0,0.5,0.0,0.5
223,0.4,0.0,0.5,0.1
224,0.6,0.1,0.1,0.2
225,0.2,0.1,0.3,0.4
226,0.0,0.0,0.0,1.0
227,0.0,0.0,0.1,0.9
228,0.1,0.1,0.3,0.5
229,0.1,0.0,0.0,0.9
230,0.4,0.0,0.1,0.5
231,0.1,0.0,0.1,0.8
232,0.0,0.0,0.0,1.0
233,0.4,0.0,0.1,0.5
234,0.0,0.0,0.0,1.0
235,0.5,0.0,0.2,0.3
236,0.0,0.0,0.0,1.0
237,0.3,0.0,0.3,0.4
238,0.2,0.0,0.0,0.8
239,0.2,0.0,0.1,0.7
240,0.2,0.0,0.2,0.6
241,0.2,0.0,0.0,0.8
242,0.4,0.0,0.3,0.3
243,0.2,0.0,0.0,0.8
244,0.2,0.0,0.0,0.8
