,Unknown,20th century,21st century,Pre-1900s
75,0.5,0.4,0.0,0.1
76,0.4,0.3,0.0,0.3
77,0.0,0.4,0.0,0.6
78,0.7,0.0,0.0,0.3
79,1.0,0.0,0.0,0.0
80,0.9,0.1,0.0,0.0
81,1.0,0.0,0.0,0.0
82,1.0,0.0,0.0,0.0
83,0.7,0.0,0.0,0.3
84,0.8,0.0,0.0,0.2
85,0.9,0.1,0.0,0.0
86,1.0,0.0,0.0,0.0
87,1.0,0.0,0.0,0.0
88,1.0,0.0,0.0,0.0
89,1.0,0.0,0.0,0.0
90,0.7,0.0,0.0,0.3
91,0.8,0.0,0.2,0.0
92,0.7,0.0,0.0,0.3
93,0.5,0.3,0.2,0.0
94,1.0,0.0,0.0,0.0
95,0.9,0.0,0.0,0.1
96,1.0,0.0,0.0,0.0
97,0.5,0.0,0.0,0.5
98,1.0,0.0,0.0,0.0
99,1.0,0.0,0.0,0.0
100,0.5,0.3,0.2,0.0
101,1.0,0.0,0.0,0.0
102,0.9,0.1,0.0,0.0
103,0.3,0.3,0.0,0.4
104,0.5,0.0,0.4,0.1
105,0.2,0.2,0.0,0.6
106,0.4,0.2,0.0,0.4
107,1.0,0.0,0.0,0.0
108,1.0,0.0,0.0,0.0
109,1.0,0.0,0.0,0.0
110,1.0,0.0,0.0,0.0
111,0.4,0.5,0.0,0.1
112,1.0,0.0,0.0,0.0
113,1.0,0.0,0.0,0.0
114,0.9,0.0,0.0,0.1
115,0.7,0.1,0.2,0.0
116,0.7,0.3,0.0,0.0
117,1.0,0.0,0.0,0.0
118,1.0,0.0,0.0,0.0
119,0.5,0.5,0.0,0.0
120,0.7,0.0,0.0,0.3
121,0.8,0.0,0.2,0.0
122,1.0,0.0,0.0,0.0
123,0.4,0.1,0.0,0.5
124,0.6,0.0,0.0,0.4
125,0.9,0.0,0.1,0.0
126,0.4,0.3,0.0,0.3
127,0.9,0.1,0.0,0.0
128,0.8,0.1,0.0,0.1
129,1.0,0.0,0.0,0.0
130,1.0,0.0,0.0,0.0
131,0.0,0.9,0.0,0.1
132,1.0,0.0,0.0,0.0
133,1.0,0.0,0.0,0.0
134,1.0,0.0,0.0,0.0
135,0.9,0.0,0.0,0.1
136,0.5,0.0,0.5,0.0
137,0.9,0.0,0.0,0.1
138,0.9,0.1,0.0,0.0
139,0.3,0.6,0.0,0.1
140,0.8,0.1,0.0,0.1
141,0.8,0.0,0.1,0.1
142,0.0,0.1,0.0,0.9
143,0.0,0.0,0.0,1.0
144,0.8,0.1,0.0,0.1
145,0.3,0.5,0.0,0.2
146,1.0,0.0,0.0,0.0
147,1.0,0.0,0.0,0.0
148,1.0,0.0,0.0,0.0
149,1.0,0.0,0.0,0.0
150,0.7,0.3,0.0,0.0
151,1.0,0.0,0.0,0.0
152,0.9,0.1,0.0,0.0
153,0.5,0.5,0.0,0.0
154,0.9,0.1,0.0,0.0
155,0.4,0.0,0.5,0.1
156,0.3,0.6,0.1,0.0
157,1.0,0.0,0.0,0.0
158,0.9,0.1,0.0,0.0
