,l-r,s-,e-k,a-d
90,0.3,0.2,0.3,0.2
91,0.1,0.3,0.5,0.1
92,0.1,0.3,0.1,0.5
93,0.6,0.1,0.2,0.1
94,0.2,0.1,0.5,0.2
95,0.6,0.3,0.1,0.0
96,0.1,0.7,0.0,0.2
97,0.1,0.1,0.7,0.1
98,0.7,0.0,0.2,0.1
99,0.0,0.0,0.0,1.0
100,0.3,0.1,0.6,0.0
101,0.0,0.3,0.3,0.4
102,0.3,0.0,0.0,0.7
103,0.1,0.1,0.1,0.7
104,0.4,0.1,0.2,0.3
105,0.1,0.1,0.8,0.0
106,0.1,0.2,0.1,0.6
107,0.2,0.3,0.3,0.2
108,0.1,0.0,0.6,0.3
109,0.2,0.2,0.0,0.6
110,0.1,0.0,0.5,0.4
111,0.2,0.5,0.1,0.2
112,0.0,0.3,0.5,0.2
113,0.4,0.5,0.0,0.1
114,0.3,0.3,0.1,0.3
115,0.2,0.1,0.1,0.6
116,0.1,0.8,0.0,0.1
117,0.4,0.1,0.4,0.1
118,1.0,0.0,0.0,0.0
119,0.4,0.0,0.5,0.1
120,0.0,0.1,0.0,0.9
121,0.6,0.0,0.2,0.2
122,0.0,0.6,0.1,0.3
123,0.1,0.3,0.3,0.3
124,0.0,0.7,0.2,0.1
125,0.3,0.3,0.0,0.4
126,0.2,0.1,0.1,0.6
127,0.0,0.5,0.4,0.1
128,0.0,0.0,0.8,0.2
129,0.2,0.5,0.2,0.1
130,0.0,0.0,0.1,0.9
131,0.2,0.6,0.2,0.0
132,0.4,0.1,0.3,0.2
133,0.0,0.1,0.1,0.8
134,0.1,0.5,0.4,0.0
135,0.6,0.2,0.0,0.2
136,0.9,0.0,0.1,0.0
137,0.1,0.1,0.1,0.7
138,0.2,0.6,0.0,0.2
139,0.2,0.1,0.6,0.1
140,0.2,0.1,0.4,0.3
141,0.7,0.1,0.0,0.2
142,0.8,0.1,0.1,0.0
143,0.2,0.5,0.1,0.2
144,0.3,0.3,0.3,0.1
145,0.3,0.2,0.3,0.2
146,0.1,0.4,0.4,0.1
147,0.3,0.2,0.3,0.2
148,0.1,0.0,0.2,0.7
149,0.2,0.1,0.2,0.5
150,0.2,0.7,0.0,0.1
151,0.1,0.8,0.1,0.0
152,0.2,0.2,0.2,0.4
153,0.1,0.2,0.3,0.4
154,0.4,0.3,0.1,0.2
155,0.2,0.0,0.4,0.4
156,0.2,0.0,0.1,0.7
157,0.0,0.1,0.2,0.7
158,0.3,0.1,0.0,0.6
