,21st century,20th century,Pre-1900s,Unknown
92,0.0,0.0,0.0,1.0
93,0.0,0.2,0.0,0.8
94,0.0,0.0,0.2,0.8
95,0.0,0.0,0.0,1.0
96,0.0,0.0,0.1,0.9
97,0.0,0.0,0.0,1.0
98,0.0,0.1,0.0,0.9
99,0.0,0.0,0.0,1.0
100,0.1,0.0,0.2,0.7
101,0.0,0.0,0.1,0.9
102,0.0,0.0,0.0,1.0
103,0.0,0.4,0.3,0.3
104,0.1,0.0,0.1,0.8
105,0.0,0.0,0.0,1.0
106,0.1,0.5,0.0,0.4
107,0.0,0.0,0.1,0.9
108,0.0,0.2,0.2,0.6
109,0.0,0.0,0.0,1.0
110,0.0,0.0,0.0,1.0
111,0.0,0.1,0.0,0.9
112,0.0,0.2,0.5,0.3
113,0.0,0.0,0.0,1.0
114,0.0,0.0,0.0,1.0
115,0.1,0.2,0.1,0.6
116,0.1,0.2,0.1,0.6
117,0.0,0.0,0.0,1.0
118,0.0,0.0,0.0,1.0
119,0.0,0.3,0.0,0.7
120,0.0,0.0,0.1,0.9
121,0.1,0.0,0.0,0.9
122,0.0,0.0,0.3,0.7
123,0.0,0.0,0.2,0.8
124,0.0,0.1,0.1,0.8
125,0.0,0.1,0.1,0.8
126,0.0,0.3,0.3,0.4
127,0.0,0.1,0.2,0.7
128,0.0,0.0,0.0,1.0
129,0.0,0.1,0.0,0.9
130,0.0,0.0,0.0,1.0
131,0.2,0.1,0.3,0.4
132,0.1,0.0,0.0,0.9
133,0.0,0.0,0.2,0.8
134,0.0,0.0,0.1,0.9
135,0.1,0.0,0.2,0.7
136,0.3,0.1,0.1,0.5
137,0.0,0.1,0.1,0.8
138,0.0,0.1,0.0,0.9
139,0.0,0.2,0.4,0.4
140,0.0,0.0,0.0,1.0
141,0.1,0.1,0.0,0.8
142,0.0,0.0,0.0,1.0
143,0.1,0.0,0.6,0.3
144,0.0,0.2,0.0,0.8
145,0.0,0.3,0.1,0.6
146,0.0,0.2,0.0,0.8
147,0.0,0.1,0.2,0.7
148,0.0,0.0,0.0,1.0
149,0.0,0.0,0.0,1.0
150,0.0,0.0,0.0,1.0
151,0.0,0.0,0.0,1.0
152,0.0,0.0,0.0,1.0
153,0.0,0.5,0.0,0.5
154,0.1,0.0,0.0,0.9
155,0.3,0.0,0.1,0.6
156,0.2,0.1,0.1,0.6
157,0.0,0.0,0.1,0.9
158,0.0,0.1,0.0,0.9
