,a-d,e-k,l-r,s-
51,3.8571428372448984,0.999999995,1.857142847244898,2.999999985
52,0.0,0.1999999999999998,0.0,0.0
53,0.0,0.0,0.0,0.0
54,2.999999985,1.99999999,1.99999999,0.999999995
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.1999999997999999,0.0
57,0.0,0.0,0.5340659320685667,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,3.99999998,0.0,3.99999998,1.99999999
61,0.0,0.0,0.0,0.0
62,9.999999949999998,0.0,0.0,0.0
63,1.99999999,3.7999999802,2.999999985,0.999999995
64,1.99999999,1.99999999,2.7999999852000004,2.7999999852000004
65,0.0,0.0,0.0,0.0
66,7.142857141836734,0.0,0.0,0.0
67,0.0,0.0,4.499999999999999,0.4999999999999999
68,0.0,0.0,0.0,0.0
69,1.579999988528,0.0,1.99999999,0.999999995
70,0.0,0.999999995,5.2647352249378,0.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
73,1.4999999962499997,0.4999999987499999,0.9999999974999998,0.5999999979
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.2857142855102038,0.0
76,3.7692307493195267,0.0,0.999999995,1.0769230669822487
77,2.999999985,0.999999995,1.99999999,2.999999985
78,0.0,0.0,0.0,0.0
79,0.999999995,1.3333333244444445,2.999999981666667,1.99999999
80,0.3333333327777777,0.0,0.6666666655555554,0.3333333327777777
81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,1.99999999,0.999999995,3.99999998,2.999999985
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0
88,0.4999999996875,0.4999999996875,0.4999999996875,0.4999999996875
89,0.0,0.0,0.0,0.0
90,0.0,0.4285714267346938,0.2142857133673469,0.7142857133673469
91,0.0,0.0,0.0,0.0
92,0.42307692310650824,0.666666666666666,0.49999999999999944,0.0
93,0.0,0.0,0.5555555540123456,3.8888888780864184
94,0.0,0.0,6.999999964999999,0.0
95,1.7714285716163258,0.2285714286693877,0.6857142860081631,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.1111111110493826,0.0,0.0
99,0.5333333327777784,0.1333333331944446,0.5333333327777784,0.1333333331944446
100,0.0,0.0,0.0,0.0
101,0.999999995,1.6666666572222222,3.99999998,2.999999985
102,0.0,0.0,0.0,0.0
103,0.0,0.0,1.3142857151658163,0.0
104,3.99999998,1.99999999,3.99999998,0.0
105,0.0,0.0,0.0,0.1904761913832198
106,1.7333333279555556,0.8666666639777778,5.199999983866667,0.8666666639777778
107,0.3999999995999998,0.1999999997999999,0.5999999993999997,0.5999999993999997
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,0.0,3.99999998,2.999999985,2.999999985
111,1.4999999999999996,0.4999999999999999,1.4999999999999996,0.4999999999999999
112,0.7499999971875,0.0,6.7499999746874995,0.0
113,2.999999985,0.999999995,3.99999998,0.999999995
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,0.1999999999999998,0.0,0.0,0.0
118,0.9404761908907311,2.0952380956462586,1.0476190478231293,1.0476190478231293
119,0.4999999966,0.1999999984,0.4999999966,0.5999999964
120,0.4999999987499999,1.9999999949999996,0.0,0.4999999987499999
121,1.3846153798224852,1.3846153798224852,2.076923069733728,2.076923069733728
122,0.0,0.0,0.0,0.0
123,1.99999999,1.99999999,3.99999998,1.99999999
124,0.999999995,1.99999999,0.0,0.999999995
125,0.0,0.2857142855102038,0.0,0.0
126,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0
129,0.968253967244898,1.11111111,1.666666665,1.11111111
130,0.9999999974999998,0.9999999974999998,0.9999999974999998,1.9999999949999996
131,1.4999999962499997,0.0,0.4999999987499999,0.4999999987499999
132,3.99999998,0.0,2.8571428422448983,1.99999999
133,0.0,0.1381578944687067,2.225563906658092,0.0
134,0.0,0.7142857093877552,3.5714285469387756,2.8571428375510206
135,0.0,0.2499999999999999,2.4999999984374996,0.4999999996875
136,1.3333333288888887,0.6666666644444443,3.333333322222222,1.3333333288888887
137,0.0,0.0,0.0,0.0
138,0.4999999996875,0.999999999375,0.4999999996875,0.4999999996875
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
143,2.999999985,0.999999995,1.99999999,0.999999995
