docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions
19660913,s-,2007-2011,20th century,Medium-High,Man,['None']
27888863,s-,2007-2011,Unknown,Medium-Low,Unknown,['None']
26343754,s-,2007-2011,21st century,Low,Unknown,['Northern America']
30643724,l-r,2007-2011,20th century,Low,Unknown,['None']
8745619,a-d,2007-2011,21st century,Medium-Low,Unknown,['Eastern Europe']
11199039,l-r,2007-2011,Pre-1900s,Medium-Low,Man,['None']
33340388,l-r,2007-2011,21st century,Low,Unknown,['Northern America']
20621561,a-d,2007-2011,20th century,High,Man,['None']
12407294,l-r,2007-2011,Unknown,High,Unknown,['None']
24783091,s-,2007-2011,20th century,Medium-Low,Unknown,['None']
11625579,l-r,2007-2011,20th century,Medium-Low,Unknown,['None']
20098361,e-k,2007-2011,Pre-1900s,Medium-High,Unknown,['Eastern Europe']
22438300,l-r,2007-2011,Pre-1900s,Low,Unknown,['Northern Europe']
17838402,s-,2007-2011,Unknown,Medium-High,Unknown,['Northern America']
9798472,a-d,2007-2011,Pre-1900s,Medium-Low,Man,['None']
29372145,a-d,2007-2011,Pre-1900s,Medium-High,Unknown,['None']
24278209,e-k,2007-2011,Unknown,Medium-High,Unknown,['South-eastern Asia']
30683150,l-r,2007-2011,Pre-1900s,Medium-High,Woman,['Southern Europe']
27936150,s-,2007-2011,21st century,Medium-High,Unknown,['None']
22789996,s-,2007-2011,Pre-1900s,Medium-High,Unknown,['Northern Europe']
8924609,e-k,2007-2011,21st century,Medium-High,Unknown,['Western Europe']
19368465,l-r,2007-2011,20th century,Medium-High,Unknown,['Northern Europe']
15085780,a-d,2007-2011,20th century,Medium-High,Unknown,['None']
23397764,s-,2007-2011,21st century,Medium-Low,Unknown,['None']
9140389,e-k,2007-2011,20th century,High,Unknown,['None']
12847755,s-,2007-2011,21st century,High,Unknown,['Northern Europe']
21327500,a-d,2007-2011,Unknown,High,Unknown,['None']
19044957,s-,2007-2011,20th century,High,Unknown,['None']
25135768,e-k,2007-2011,21st century,Medium-Low,Unknown,['Northern America']
17995544,e-k,2007-2011,Unknown,High,Unknown,"['Eastern Europe', 'Western Asia']"
11466337,a-d,2007-2011,21st century,High,Unknown,['Western Asia']
20086978,l-r,2007-2011,21st century,Medium-Low,Unknown,['Northern America']
10473206,a-d,2007-2011,21st century,Medium-High,Unknown,['Western Europe']
17897316,l-r,2007-2011,21st century,Medium-High,Unknown,['None']
11299985,a-d,2007-2011,Pre-1900s,High,Unknown,['None']
22443646,l-r,2007-2011,20th century,High,Unknown,['None']
13134210,l-r,2007-2011,Pre-1900s,High,Man,['Eastern Europe']
17366912,e-k,2007-2011,Pre-1900s,High,Man,['None']
17857319,s-,2007-2011,Pre-1900s,High,Unknown,['Eastern Europe']
41178596,a-d,2012-2016,Pre-1900s,Low,Man,['None']
47531837,l-r,2012-2016,20th century,Low,Man,['Australia and New Zealand']
25462124,e-k,2007-2011,21st century,High,Unknown,['None']
25677017,l-r,2007-2011,21st century,High,Man,['Central America']
44037469,s-,2012-2016,20th century,Low,Man,['Southern Africa']
37898739,s-,2012-2016,Unknown,Medium-Low,Unknown,['None']
46978810,l-r,2012-2016,Pre-1900s,Low,Man,['None']
34592233,a-d,2012-2016,20th century,Medium-Low,Unknown,['None']
40450218,a-d,2012-2016,Unknown,Low,Unknown,['Northern America']
48513880,l-r,2012-2016,21st century,Low,Unknown,['Eastern Asia']
37135130,l-r,2012-2016,20th century,Medium-Low,Unknown,['Southern Europe']
34245545,l-r,2012-2016,Unknown,High,Unknown,['None']
50153114,a-d,2012-2016,20th century,Low,Unknown,['Central America']
48722101,e-k,2012-2016,20th century,Low,Unknown,['None']
36971010,l-r,2012-2016,Unknown,Medium-Low,Unknown,['Western Asia']
41609569,e-k,2012-2016,21st century,Low,Unknown,['Australia and New Zealand']
40189494,a-d,2012-2016,21st century,Low,Unknown,['Southern Asia']
39531468,l-r,2012-2016,Unknown,Low,Unknown,['Northern America']
36723831,e-k,2012-2016,Unknown,Medium-Low,Unknown,['South America']
42361931,e-k,2012-2016,Pre-1900s,Low,Man,['None']
37131963,e-k,2012-2016,20th century,Medium-Low,Man,['Southern Europe']
49544852,e-k,2012-2016,Unknown,Low,Unknown,['None']
42882989,s-,2012-2016,Unknown,Low,Unknown,['None']
35944940,l-r,2012-2016,Unknown,Medium-High,Unknown,['None']
48927148,l-r,2012-2016,Pre-1900s,Medium-Low,Unknown,['None']
50660806,e-k,2012-2016,Pre-1900s,Medium-Low,Unknown,['Northern Europe']
43156336,s-,2012-2016,20th century,Medium-Low,Unknown,['None']
49709450,s-,2012-2016,Unknown,Medium-High,Unknown,['None']
47132134,s-,2012-2016,Pre-1900s,Low,Unknown,['Northern America']
41580224,a-d,2012-2016,Unknown,Medium-Low,Unknown,['None']
34305685,e-k,2012-2016,Unknown,Medium-High,Unknown,['None']
38988819,a-d,2012-2016,Pre-1900s,Medium-High,Unknown,['Eastern Asia']
37602440,a-d,2012-2016,21st century,Medium-Low,Unknown,['Northern America']
51556214,s-,2012-2016,21st century,Low,Unknown,['None']
39482660,a-d,2012-2016,Pre-1900s,Medium-Low,Man,['None']
44301313,l-r,2012-2016,21st century,Medium-Low,Unknown,['Western Europe']
36628410,l-r,2012-2016,21st century,Medium-High,Unknown,['Northern America']
45671774,a-d,2012-2016,Unknown,Medium-High,Unknown,['None']
50945714,s-,2012-2016,Pre-1900s,Medium-Low,Unknown,['None']
49998461,e-k,2012-2016,Unknown,High,Unknown,['None']
52308230,s-,2012-2016,Unknown,High,Unknown,['Melanesia']
51723838,e-k,2012-2016,20th century,Medium-High,Man,['Northern Europe']
35882506,s-,2012-2016,20th century,High,Unknown,['None']
39855840,s-,2012-2016,20th century,Medium-High,Unknown,['None']
41577685,a-d,2012-2016,21st century,Medium-High,Unknown,['Western Asia']
51396743,a-d,2012-2016,20th century,Medium-High,Unknown,['None']
44632586,s-,2012-2016,21st century,Medium-Low,Unknown,['Northern America']
47083707,a-d,2012-2016,Unknown,High,Unknown,['Eastern Europe']
41968585,l-r,2012-2016,20th century,Medium-High,Unknown,['None']
46531699,e-k,2012-2016,21st century,Medium-Low,Unknown,['Northern Europe']
36307532,l-r,2012-2016,Pre-1900s,Medium-High,Unknown,['Western Asia']
39807819,l-r,2012-2016,20th century,High,Unknown,['None']
38264234,e-k,2012-2016,21st century,Medium-High,Unknown,['None']
51109302,s-,2012-2016,Pre-1900s,Medium-High,Man,['None']
43091622,s-,2012-2016,21st century,High,Unknown,['Eastern Europe']
43390495,e-k,2012-2016,21st century,High,Unknown,['Western Europe']
37934355,e-k,2012-2016,20th century,High,Woman,['Western Europe']
49049283,a-d,2012-2016,20th century,High,Unknown,['Southern Europe']
41386653,s-,2012-2016,Pre-1900s,High,Unknown,['Eastern Asia']
40005896,e-k,2012-2016,Pre-1900s,Medium-High,Unknown,['None']
49842103,l-r,2012-2016,21st century,High,Unknown,['None']
49307554,s-,2012-2016,21st century,Medium-High,Unknown,['None']
51305327,a-d,2012-2016,21st century,High,Unknown,['Eastern Europe']
62738560,s-,2017-2022,20th century,Low,Unknown,['Western Europe']
69582942,a-d,2017-2022,20th century,Medium-Low,Man,['Western Europe']
66067110,e-k,2017-2022,Unknown,Low,Unknown,['None']
65715885,a-d,2017-2022,20th century,Low,Unknown,['None']
60072180,a-d,2017-2022,Unknown,Medium-High,Unknown,['None']
66010067,l-r,2017-2022,Unknown,Low,Unknown,['Northern Europe']
59272457,e-k,2017-2022,20th century,Medium-High,Woman,['Northern America']
66170776,e-k,2017-2022,20th century,Low,Man,['None']
55118668,l-r,2017-2022,20th century,Medium-Low,Unknown,['Northern America']
58612143,s-,2017-2022,Unknown,Low,Unknown,['None']
61294603,s-,2017-2022,Pre-1900s,Low,Man,['None']
69138439,l-r,2017-2022,20th century,Low,Man,['Eastern Europe']
55466563,l-r,2017-2022,Pre-1900s,Low,Man,['None']
53079779,a-d,2017-2022,Pre-1900s,Low,Man,['None']
67547974,e-k,2017-2022,Pre-1900s,Low,Man,['None']
67675757,l-r,2017-2022,Unknown,High,Unknown,['None']
55356073,l-r,2017-2022,Unknown,Medium-Low,Unknown,['None']
61126082,s-,2017-2022,Unknown,Medium-Low,Unknown,['None']
66988845,l-r,2017-2022,21st century,Medium-High,Unknown,['South-eastern Asia']
62864518,a-d,2017-2022,21st century,Low,Unknown,['Eastern Africa']
54282008,l-r,2017-2022,Unknown,Medium-High,Unknown,['None']
53990551,a-d,2017-2022,Unknown,Medium-Low,Unknown,['None']
64065121,e-k,2017-2022,Unknown,High,Unknown,['None']
58699235,e-k,2017-2022,20th century,Medium-Low,Man,['None']
61764387,e-k,2017-2022,21st century,Medium-Low,Unknown,['Eastern Africa']
67901559,s-,2017-2022,21st century,Low,Unknown,['Northern Europe']
52839191,l-r,2017-2022,21st century,Low,Man,['None']
61264142,e-k,2017-2022,Unknown,Medium-Low,Unknown,['None']
53945817,s-,2017-2022,20th century,Medium-Low,Man,['None']
63979454,a-d,2017-2022,Unknown,High,Unknown,['None']
52852632,e-k,2017-2022,21st century,Low,Unknown,['None']
61786542,s-,2017-2022,21st century,Medium-High,Unknown,"['Northern Europe', 'Western Asia', 'Northern America', 'Western Europe']"
60593784,l-r,2017-2022,21st century,Medium-Low,Unknown,['None']
55249557,e-k,2017-2022,Unknown,Medium-High,Unknown,['Central Asia']
54216488,a-d,2017-2022,21st century,Medium-High,Unknown,['None']
68955172,a-d,2017-2022,21st century,Medium-Low,Unknown,['Eastern Europe']
62795711,s-,2017-2022,20th century,Medium-High,Man,['Western Europe']
53014646,s-,2017-2022,Unknown,Medium-High,Unknown,['Western Asia']
64234525,s-,2017-2022,Unknown,High,Unknown,['None']
65527691,a-d,2017-2022,20th century,Medium-High,Man,['None']
64562495,a-d,2017-2022,Pre-1900s,Medium-Low,Man,['None']
53445450,l-r,2017-2022,Pre-1900s,Medium-Low,Man,['None']
60425220,l-r,2017-2022,20th century,Medium-High,Man,['None']
55233749,a-d,2017-2022,Pre-1900s,Medium-High,Unknown,['None']
67965293,e-k,2017-2022,Pre-1900s,Medium-Low,Man,['None']
56548409,e-k,2017-2022,20th century,High,Man,['None']
68214378,l-r,2017-2022,20th century,High,Man,['None']
57276639,s-,2017-2022,21st century,High,Unknown,['None']
54024736,s-,2017-2022,21st century,Medium-Low,Man,['Southern Asia']
59133594,s-,2017-2022,Pre-1900s,Medium-Low,Unknown,['Northern Europe']
67923447,a-d,2017-2022,20th century,High,Man,['Northern America']
56008954,e-k,2017-2022,21st century,Medium-High,Unknown,['Central Asia']
67423253,e-k,2017-2022,21st century,High,Man,['None']
67491308,s-,2017-2022,Pre-1900s,Medium-High,Man,['None']
64961698,e-k,2017-2022,Pre-1900s,Medium-High,Unknown,['None']
65677592,s-,2017-2022,20th century,High,Man,['Eastern Europe']
59069789,l-r,2017-2022,21st century,High,Unknown,['Northern Europe']
63698115,a-d,2017-2022,21st century,High,Unknown,['None']
