docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions
1383392,l-r,2001-2006,Pre-1900s,Low,Unknown,['Western Europe']
3941690,l-r,2001-2006,20th century,Low,Unknown,['Eastern Europe']
2222461,e-k,2001-2006,21st century,Medium-Low,Unknown,['Southern Asia']
2445711,a-d,2001-2006,21st century,Medium-Low,Unknown,['Southern Europe']
7350274,s-,2001-2006,21st century,Low,Unknown,['Southern Asia']
2419731,e-k,2001-2006,21st century,Low,Unknown,['Northern Europe']
3175778,l-r,2001-2006,21st century,Low,Unknown,['Northern Europe']
21424597,a-d,2007-2011,Unknown,Low,Unknown,['None']
32876385,s-,2007-2011,Unknown,Low,Unknown,['Southern Asia']
12783597,a-d,2007-2011,Unknown,Medium-Low,Unknown,['Western Europe']
28469555,l-r,2007-2011,Unknown,Medium-High,Unknown,['None']
20690689,l-r,2007-2011,Unknown,Low,Unknown,['Northern America']
32659436,e-k,2007-2011,20th century,Low,Unknown,['Eastern Europe']
12367938,e-k,2007-2011,Unknown,Low,Unknown,['Northern America']
18180717,a-d,2007-2011,Unknown,Medium-High,Unknown,"['Australia and New Zealand', 'South America']"
22769850,l-r,2007-2011,Unknown,Medium-Low,Unknown,['None']
11890091,s-,2007-2011,Unknown,Medium-Low,Unknown,['Northern America']
14518938,e-k,2007-2011,Unknown,Medium-Low,Unknown,['Eastern Europe']
24285393,l-r,2007-2011,Unknown,High,Unknown,['None']
23398599,s-,2007-2011,Unknown,Medium-High,Unknown,['None']
24688126,s-,2007-2011,20th century,Low,Unknown,['Northern America']
13872613,l-r,2007-2011,Pre-1900s,Low,Man,['None']
10420454,s-,2007-2011,Pre-1900s,Low,Unknown,['Northern Europe']
30232307,e-k,2007-2011,Unknown,Medium-High,Unknown,['Western Asia']
24664395,a-d,2007-2011,20th century,Low,Unknown,['Northern America']
10271212,a-d,2007-2011,Unknown,High,Unknown,['Eastern Europe']
10339070,a-d,2007-2011,20th century,Medium-Low,Man,['Northern America']
11777222,e-k,2007-2011,Unknown,High,Unknown,['South America']
31080414,e-k,2007-2011,21st century,Medium-Low,Unknown,['Southern Europe']
10843017,e-k,2007-2011,Pre-1900s,Low,Man,['None']
16988490,l-r,2007-2011,20th century,Low,Unknown,['Northern America']
33399055,a-d,2007-2011,21st century,Low,Unknown,['Southern Asia']
11373339,a-d,2007-2011,20th century,Medium-High,Unknown,['Southern Europe']
26424028,s-,2007-2011,21st century,Low,Unknown,['Southern Asia']
20738533,l-r,2007-2011,21st century,Low,Unknown,['Northern America']
15430027,e-k,2007-2011,21st century,Low,Unknown,['Western Europe']
30724463,s-,2007-2011,21st century,Medium-Low,Unknown,['Southern Europe']
13697365,a-d,2007-2011,Pre-1900s,Low,Unknown,['Southern Asia']
18183042,e-k,2007-2011,Pre-1900s,Medium-Low,Man,['Western Europe']
15131800,s-,2007-2011,20th century,Medium-Low,Unknown,['Western Europe']
15459948,l-r,2007-2011,20th century,Medium-High,Unknown,['Eastern Europe']
17839068,e-k,2007-2011,20th century,Medium-Low,Unknown,['Northern Europe']
26130579,l-r,2007-2011,20th century,Medium-Low,Unknown,['Eastern Europe']
27509810,s-,2007-2011,20th century,Medium-High,Unknown,['None']
23179157,a-d,2007-2011,Pre-1900s,Medium-Low,Unknown,['Southern Europe']
29385787,a-d,2007-2011,21st century,Medium-Low,Unknown,['Southern Asia']
30724414,l-r,2007-2011,21st century,Medium-Low,Unknown,['Southern Europe']
38445554,l-r,2012-2016,Unknown,Low,Unknown,['None']
34402278,e-k,2012-2016,Unknown,Low,Unknown,['Southern Asia']
37009944,a-d,2012-2016,Unknown,Low,Unknown,['Southern Asia']
37581793,s-,2012-2016,Unknown,Low,Unknown,['Southern Asia']
42505529,l-r,2012-2016,Unknown,Medium-High,Unknown,['None']
36426167,l-r,2012-2016,Unknown,Medium-Low,Unknown,['None']
35016834,a-d,2012-2016,Pre-1900s,Low,Unknown,['Eastern Europe']
40348354,e-k,2012-2016,20th century,Low,Unknown,['Northern Europe']
34936718,l-r,2012-2016,Pre-1900s,Low,Unknown,['Western Europe']
39416963,a-d,2012-2016,20th century,Low,Man,['None']
39926611,e-k,2012-2016,Unknown,Medium-Low,Unknown,['Southern Asia']
47642505,l-r,2012-2016,20th century,Low,Unknown,['Northern Europe']
40349320,s-,2012-2016,Unknown,Medium-Low,Unknown,['South-eastern Asia']
45073672,a-d,2012-2016,Unknown,Medium-Low,Unknown,['Northern Africa']
49438140,e-k,2012-2016,Unknown,High,Unknown,['Eastern Europe']
36855788,e-k,2012-2016,21st century,Low,Unknown,['Southern Asia']
48251894,e-k,2012-2016,Pre-1900s,Low,Man,['Western Europe']
37423534,l-r,2012-2016,21st century,Low,Unknown,['Southern Asia']
51999816,s-,2012-2016,21st century,Low,Unknown,['Eastern Europe']
44383513,a-d,2012-2016,21st century,Low,Unknown,['None']
50734381,a-d,2012-2016,Unknown,Medium-High,Unknown,['Eastern Europe']
44956057,s-,2012-2016,Pre-1900s,Low,Unknown,['Eastern Asia']
37504906,e-k,2012-2016,20th century,Medium-Low,Unknown,['Western Europe']
41754885,s-,2012-2016,20th century,Low,Unknown,['Northern America']
47329029,e-k,2012-2016,Unknown,Medium-High,Unknown,"['Southern Europe', 'Western Europe']"
39629790,l-r,2012-2016,21st century,Medium-Low,Unknown,['None']
51807646,l-r,2012-2016,Unknown,High,Unknown,['None']
41008669,a-d,2012-2016,Unknown,High,Unknown,['Northern America']
41575400,s-,2012-2016,Unknown,Medium-High,Unknown,['None']
51563568,l-r,2012-2016,Pre-1900s,High,Unknown,['None']
63323811,l-r,2017-2022,Unknown,Low,Unknown,['Eastern Europe']
60161587,a-d,2017-2022,Unknown,Low,Unknown,['Eastern Europe']
61047130,e-k,2017-2022,Unknown,Low,Unknown,['Eastern Europe']
63279467,s-,2017-2022,Unknown,Low,Unknown,['Eastern Europe']
60335405,s-,2017-2022,Unknown,Medium-Low,Unknown,['Eastern Europe']
60284014,e-k,2017-2022,Unknown,Medium-Low,Unknown,['Eastern Europe']
58940136,l-r,2017-2022,Unknown,Medium-Low,Unknown,['Eastern Europe']
55988396,a-d,2017-2022,Unknown,Medium-High,Unknown,['None']
64210992,s-,2017-2022,Pre-1900s,Low,Unknown,['Eastern Europe']
61227270,e-k,2017-2022,Pre-1900s,Low,Unknown,['Eastern Europe']
59674087,a-d,2017-2022,20th century,Low,Unknown,['Eastern Europe']
67061821,l-r,2017-2022,20th century,Low,Unknown,['Northern Europe']
53921191,s-,2017-2022,21st century,Low,Unknown,['Western Asia']
53251123,s-,2017-2022,Unknown,High,Unknown,['Western Africa']
59898886,e-k,2017-2022,20th century,Low,Unknown,['Eastern Europe']
66484926,l-r,2017-2022,21st century,Low,Unknown,['Northern America']
64780734,a-d,2017-2022,21st century,Low,Unknown,['Northern America']
62636958,l-r,2017-2022,Unknown,High,Unknown,['None']
59191454,e-k,2017-2022,20th century,Medium-Low,Unknown,['None']
63291071,s-,2017-2022,20th century,Low,Woman,['None']
63591315,e-k,2017-2022,21st century,Low,Unknown,['Eastern Europe']
62523416,a-d,2017-2022,Unknown,Medium-Low,Unknown,['Eastern Europe']
61741659,a-d,2017-2022,Pre-1900s,Low,Unknown,['Eastern Europe']
69891764,s-,2017-2022,Unknown,Medium-High,Unknown,['None']
58246920,e-k,2017-2022,21st century,Medium-High,Unknown,['None']
58277581,a-d,2017-2022,Pre-1900s,Medium-Low,Unknown,"['Southern Europe', 'Western Europe']"
58465609,l-r,2017-2022,Pre-1900s,Low,Unknown,['Eastern Europe']
59328261,e-k,2017-2022,Unknown,Medium-High,Unknown,['Southern Asia']
