docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions
329207,e-k,2001-2006,20th century,Medium-High,Unknown,['Eastern Asia']
5852070,l-r,2001-2006,20th century,High,Unknown,['Eastern Europe']
2126574,s-,2001-2006,20th century,Medium-High,Unknown,['South-eastern Asia']
53144919,l-r,2017-2022,Unknown,Medium-High,Unknown,['None']
742159,e-k,2001-2006,Pre-1900s,High,Unknown,['Caribbean']
1020493,l-r,2001-2006,Pre-1900s,High,Unknown,['South America']
3781695,a-d,2001-2006,21st century,Medium-Low,Unknown,"['Eastern Africa', 'Western Europe']"
5182636,l-r,2001-2006,21st century,Medium-High,Unknown,['Southern Asia']
8687192,a-d,2001-2006,20th century,High,Unknown,['Eastern Europe']
20988150,l-r,2007-2011,Unknown,Low,Unknown,['Eastern Europe']
9057068,s-,2007-2011,Unknown,Low,Unknown,['Northern America']
25905749,l-r,2007-2011,Unknown,Medium-Low,Unknown,['Southern Europe']
25700034,l-r,2007-2011,21st century,Low,Unknown,['Western Europe']
13845412,s-,2007-2011,Unknown,Medium-Low,Unknown,['Eastern Europe']
24218251,l-r,2007-2011,Unknown,Medium-High,Unknown,['Southern Asia']
15875896,e-k,2007-2011,Unknown,Low,Unknown,['Northern America']
16489766,a-d,2007-2011,Unknown,Medium-Low,Unknown,['None']
9338700,s-,2007-2011,20th century,Medium-Low,Unknown,['Northern America']
8967391,l-r,2007-2011,Pre-1900s,Medium-Low,Unknown,['Eastern Europe']
19005332,a-d,2007-2011,Unknown,Low,Unknown,['Eastern Europe']
9217029,e-k,2007-2011,Unknown,Medium-Low,Unknown,['Northern Europe']
25468664,a-d,2007-2011,20th century,Low,Unknown,['South America']
10408398,a-d,2007-2011,Pre-1900s,Low,Unknown,['Northern America']
28958749,e-k,2007-2011,Pre-1900s,Low,Unknown,['Eastern Europe']
15497520,l-r,2007-2011,Pre-1900s,Low,Unknown,['Eastern Europe']
25063357,e-k,2007-2011,Unknown,Medium-High,Unknown,['Western Europe']
9615934,l-r,2007-2011,20th century,Medium-Low,Unknown,['Eastern Europe']
15519199,s-,2007-2011,Pre-1900s,Low,Unknown,['Central America']
11083040,l-r,2007-2011,20th century,Low,Unknown,['Southern Europe']
8960830,s-,2007-2011,Pre-1900s,Medium-Low,Unknown,['South America']
21438399,e-k,2007-2011,20th century,Medium-Low,Unknown,['South America']
21284653,l-r,2007-2011,Unknown,High,Unknown,['Northern America']
28862711,s-,2007-2011,Unknown,Medium-High,Unknown,['Southern Europe']
9081989,s-,2007-2011,20th century,Low,Unknown,['Northern America']
15231621,e-k,2007-2011,Unknown,High,Unknown,['None']
11285259,a-d,2007-2011,Unknown,Medium-High,Unknown,['Middle Africa']
9263509,a-d,2007-2011,20th century,Medium-Low,Unknown,['Eastern Asia']
20145963,a-d,2007-2011,Pre-1900s,Medium-Low,Unknown,['Central America']
11553014,l-r,2007-2011,21st century,Medium-Low,Unknown,['Eastern Asia']
13756064,a-d,2007-2011,21st century,Low,Unknown,['Eastern Asia']
25796873,e-k,2007-2011,21st century,Low,Unknown,['Western Europe']
12348156,e-k,2007-2011,20th century,Low,Unknown,['Western Europe']
13699860,s-,2007-2011,21st century,Low,Unknown,['Eastern Asia']
12206455,a-d,2007-2011,21st century,Medium-Low,Unknown,['Western Europe']
20737846,e-k,2007-2011,20th century,Medium-High,Unknown,['Northern America']
12958666,s-,2007-2011,20th century,Medium-High,Unknown,['Eastern Europe']
13509968,l-r,2007-2011,20th century,Medium-High,Unknown,['Eastern Europe']
14092072,l-r,2007-2011,Pre-1900s,Medium-High,Unknown,['Central America']
15311067,e-k,2007-2011,Pre-1900s,Medium-Low,Unknown,['South America']
17579837,a-d,2007-2011,Unknown,High,Unknown,['Southern Europe']
20982957,a-d,2007-2011,20th century,Medium-High,Unknown,"['Micronesia', 'Northern America']"
25072456,e-k,2007-2011,21st century,Medium-Low,Unknown,['Western Europe']
39779144,e-k,2012-2016,Unknown,Low,Unknown,['Southern Asia']
39667075,a-d,2012-2016,Unknown,Low,Unknown,['Southern Asia']
41293650,l-r,2012-2016,Unknown,Low,Unknown,['Southern Asia']
49457520,a-d,2012-2016,20th century,Low,Unknown,['Eastern Europe']
36130011,s-,2012-2016,Unknown,Low,Unknown,['Southern Asia']
52198974,l-r,2012-2016,Unknown,Medium-Low,Unknown,['None']
41202472,e-k,2012-2016,Unknown,Medium-Low,Unknown,['Northern America']
52511918,s-,2012-2016,20th century,Low,Unknown,['Northern Europe']
45633559,l-r,2012-2016,Pre-1900s,Medium-Low,Unknown,['Southern Asia']
40034764,e-k,2012-2016,20th century,Medium-Low,Unknown,['Northern Africa']
45141318,a-d,2012-2016,Pre-1900s,Low,Unknown,['Eastern Europe']
47938212,s-,2012-2016,20th century,Medium-Low,Unknown,['Northern America']
40272348,s-,2012-2016,Unknown,Medium-Low,Unknown,['Northern America']
36960290,e-k,2012-2016,20th century,Low,Unknown,['South America']
40132760,a-d,2012-2016,Unknown,Medium-Low,Unknown,['Northern America']
35849688,l-r,2012-2016,Unknown,High,Unknown,['None']
38050247,l-r,2012-2016,20th century,Low,Unknown,['Northern Europe']
38854345,s-,2012-2016,Unknown,Medium-High,Unknown,['Northern America']
52203287,a-d,2012-2016,Unknown,Medium-High,Unknown,['Southern Asia']
37209888,s-,2012-2016,21st century,Low,Unknown,['Western Europe']
49070718,a-d,2012-2016,21st century,Low,Unknown,['None']
39617001,e-k,2012-2016,21st century,Low,Unknown,['Western Asia']
50275712,s-,2012-2016,Pre-1900s,Low,Unknown,['Western Europe']
37875404,l-r,2012-2016,Unknown,Medium-High,Unknown,['Northern America']
38103728,l-r,2012-2016,21st century,Low,Unknown,['Western Europe']
38262923,e-k,2012-2016,Pre-1900s,Low,Unknown,['Eastern Europe']
48479520,s-,2012-2016,Pre-1900s,Medium-Low,Unknown,['Eastern Europe']
38824275,a-d,2012-2016,Pre-1900s,Medium-High,Unknown,['Eastern Europe']
40402709,l-r,2012-2016,Pre-1900s,Low,Unknown,['Southern Africa']
40735158,a-d,2012-2016,21st century,Medium-Low,Unknown,['Western Africa']
40797848,s-,2012-2016,Unknown,High,Unknown,['Eastern Asia']
42103537,e-k,2012-2016,Unknown,Medium-High,Unknown,['Southern Asia']
48479024,a-d,2012-2016,Pre-1900s,Medium-Low,Unknown,['Eastern Europe']
59825073,l-r,2017-2022,Unknown,Low,Unknown,['Southern Europe']
60074952,a-d,2017-2022,Unknown,Low,Unknown,['Southern Europe']
61275576,e-k,2017-2022,Unknown,Low,Unknown,['Southern Europe']
57960301,s-,2017-2022,Unknown,Low,Unknown,['Northern America']
68322343,l-r,2017-2022,Unknown,Medium-Low,Unknown,['None']
52806109,s-,2017-2022,Unknown,Medium-Low,Unknown,['Northern America']
52894828,a-d,2017-2022,Unknown,Medium-Low,Unknown,['Northern America']
66188893,a-d,2017-2022,20th century,Low,Unknown,['Northern Europe']
52927881,e-k,2017-2022,Unknown,Medium-Low,Unknown,['Northern Europe']
54191339,e-k,2017-2022,Pre-1900s,Low,Unknown,['Western Europe']
65333993,l-r,2017-2022,Unknown,High,Unknown,['None']
53335442,l-r,2017-2022,21st century,Low,Unknown,['Western Europe']
53522583,a-d,2017-2022,21st century,Low,Unknown,['Central America']
61524289,l-r,2017-2022,20th century,Low,Unknown,['Western Asia']
61316782,s-,2017-2022,20th century,Low,Unknown,['Western Asia']
65740356,e-k,2017-2022,21st century,Low,Unknown,['Central America']
56722520,l-r,2017-2022,Pre-1900s,Low,Unknown,['Central America']
61523153,s-,2017-2022,Unknown,Medium-High,Unknown,['Southern Asia']
54131482,s-,2017-2022,21st century,Medium-Low,Unknown,['Western Asia']
65561349,s-,2017-2022,21st century,Low,Unknown,['None']
54848517,e-k,2017-2022,Unknown,Medium-High,Unknown,['Micronesia']
56816671,s-,2017-2022,Pre-1900s,Low,Unknown,['Northern America']
69346873,a-d,2017-2022,Unknown,Medium-High,Unknown,['Southern Asia']
55790183,l-r,2017-2022,21st century,Medium-High,Unknown,['Northern America']
57024716,e-k,2017-2022,20th century,Low,Unknown,['Eastern Europe']
56734516,a-d,2017-2022,Pre-1900s,Low,Unknown,['Central America']
