docno,first_letter_category,creation_date_category,years_category,relative_pageviews_category,gender_category,page_subcont_regions
10739,e-k,2001-2006,Unknown,Medium-Low,Unknown,"['Polynesia', 'Western Europe']"
10762,e-k,2001-2006,Unknown,Medium-Low,Unknown,"['South America', 'Western Europe']"
11757,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
12029,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Middle Africa']
12345,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
12534,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
12798,e-k,2001-2006,Pre-1900s,Medium-High,Man,['None']
12821,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
13269,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
13455,e-k,2001-2006,Unknown,Low,Unknown,['None']
13893,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None']
14158,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
14251,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None']
14273,e-k,2001-2006,Unknown,Low,Unknown,['None']
14292,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
14315,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None']
14326,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None']
14327,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None']
15239,e-k,2001-2006,Unknown,Low,Unknown,['None']
16263,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
16474,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
16792,e-k,2001-2006,Unknown,High,Unknown,['Northern America']
16915,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
16916,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
16941,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None']
17102,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Northern Europe']
17760,l-r,2001-2006,20th century,Medium-High,Unknown,['South-eastern Asia']
17812,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
18278,l-r,2001-2006,Unknown,Medium-High,Unknown,['Western Europe']
18693,l-r,2001-2006,Unknown,High,Unknown,['None']
18695,l-r,2001-2006,21st century,High,Unknown,['Southern Europe']
19172,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
19283,e-k,2001-2006,Unknown,Medium-Low,Unknown,"['Northern Europe', 'Caribbean']"
19284,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Caribbean']
20145,l-r,2001-2006,Pre-1900s,Medium-High,Man,['None']
20895,l-r,2001-2006,Unknown,Low,Unknown,['None']
21047,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None']
21404,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None']
21892,l-r,2001-2006,Unknown,Medium-High,Unknown,['None']
21893,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None']
21894,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None']
21896,l-r,2001-2006,Unknown,Medium-High,Unknown,['None']
21897,l-r,2001-2006,Unknown,Medium-High,Unknown,['None']
21898,l-r,2001-2006,Unknown,High,Unknown,['None']
21900,l-r,2001-2006,Unknown,Medium-High,Unknown,['None']
21901,l-r,2001-2006,Unknown,Medium-High,Unknown,['None']
21904,l-r,2001-2006,Unknown,Medium-High,Unknown,['None']
21966,l-r,2001-2006,Pre-1900s,Medium-High,Man,['Western Europe']
22575,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
23452,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Polynesia']
24788,s-,2001-2006,Unknown,Medium-High,Unknown,['Northern America']
25919,l-r,2001-2006,Unknown,Medium-High,Unknown,['None']
26105,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
26366,l-r,2001-2006,Pre-1900s,Medium-High,Man,['None']
26543,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
27200,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Caribbean']
27216,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Caribbean']
27236,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Caribbean']
27246,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None']
27260,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Middle Africa']
27335,s-,2001-2006,20th century,High,Unknown,['Eastern Europe']
27433,e-k,2001-2006,Unknown,Medium-Low,Unknown,['South America']
27453,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Southern Africa']
27459,s-,2001-2006,20th century,Medium-High,Unknown,['Southern Africa']
29069,s-,2001-2006,Unknown,High,Unknown,['None']
29125,s-,2001-2006,Unknown,Medium-High,Unknown,['None']
29602,s-,2001-2006,Unknown,Low,Unknown,['Southern Europe']
29614,s-,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
30146,s-,2001-2006,Unknown,Medium-High,Unknown,['Western Africa']
30577,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
31216,s-,2001-2006,Unknown,Medium-High,Unknown,['Eastern Asia']
31569,s-,2001-2006,Unknown,High,Unknown,['None']
31770,s-,2001-2006,Unknown,Medium-High,Unknown,['None']
32108,s-,2001-2006,Unknown,Medium-High,Unknown,['None']
32181,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
32186,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
32198,s-,2001-2006,20th century,Medium-Low,Unknown,['None']
32217,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
32220,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
32226,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
32227,s-,2001-2006,Unknown,Low,Unknown,['None']
32230,s-,2001-2006,Unknown,Low,Unknown,['None']
32238,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
32241,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
32243,s-,2001-2006,Unknown,High,Unknown,['None']
32249,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
32276,e-k,2001-2006,Unknown,Low,Unknown,['None']
32283,e-k,2001-2006,Unknown,Low,Unknown,['None']
32285,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None']
32327,s-,2001-2006,Unknown,Low,Unknown,['None']
32328,s-,2001-2006,Unknown,Low,Unknown,['None']
32329,s-,2001-2006,Unknown,Low,Unknown,['None']
32451,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
33202,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
33222,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Northern Africa']
33728,l-r,2001-2006,Unknown,High,Unknown,['None']
33826,s-,2001-2006,Unknown,Medium-High,Unknown,['None']
33865,s-,2001-2006,Unknown,High,Unknown,['None']
33937,s-,2001-2006,Unknown,High,Unknown,['None']
33986,s-,2001-2006,Unknown,High,Unknown,['None']
34175,a-d,2001-2006,Unknown,Low,Unknown,['None']
34387,s-,2001-2006,20th century,Low,Man,['Western Asia']
37338,s-,2001-2006,Unknown,High,Unknown,['None']
37346,e-k,2001-2006,Pre-1900s,Medium-High,Man,['None']
37374,l-r,2001-2006,Unknown,High,Unknown,['Northern America']
37442,a-d,2001-2006,Unknown,Medium-Low,Unknown,['None']
38068,s-,2001-2006,21st century,Low,Unknown,['None']
38710,s-,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern America']
38744,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None']
39089,s-,2001-2006,Unknown,Low,Unknown,['None']
39256,s-,2001-2006,Unknown,Low,Unknown,['None']
40493,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
40664,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
40899,a-d,2001-2006,Unknown,Medium-Low,Unknown,['None']
40921,a-d,2001-2006,Unknown,Low,Unknown,['None']
40978,a-d,2001-2006,Unknown,Low,Unknown,['None']
41102,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
41333,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None']
41566,l-r,2001-2006,Unknown,Low,Unknown,['Western Europe']
41656,l-r,2001-2006,Unknown,Low,Unknown,['None']
42017,s-,2001-2006,Unknown,Low,Unknown,['None']
42121,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
42157,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
42188,a-d,2001-2006,Unknown,Low,Unknown,['None']
43247,s-,2001-2006,Unknown,Low,Unknown,['None']
43411,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
43415,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
43416,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
43872,e-k,2001-2006,Pre-1900s,Low,Man,['Western Europe']
44000,s-,2001-2006,Pre-1900s,High,Unknown,['Northern America']
44099,e-k,2001-2006,Unknown,Low,Unknown,['None']
44127,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None']
44791,a-d,2001-2006,Unknown,Low,Unknown,['None']
45564,s-,2001-2006,20th century,High,Unknown,['Northern America']
46504,a-d,2001-2006,Unknown,Low,Unknown,['None']
46722,a-d,2001-2006,Pre-1900s,Low,Man,['None']
47170,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None']
47546,s-,2001-2006,Unknown,Medium-High,Unknown,['None']
47634,s-,2001-2006,Unknown,Medium-High,Unknown,['None']
47656,e-k,2001-2006,20th century,High,Unknown,['Eastern Europe']
48192,l-r,2001-2006,Unknown,Low,Unknown,['None']
48289,e-k,2001-2006,20th century,High,Unknown,['None']
48520,s-,2001-2006,Unknown,High,Unknown,['None']
49054,s-,2001-2006,20th century,Medium-Low,Unknown,['None']
49669,e-k,2001-2006,Unknown,High,Unknown,['Northern America']
49732,a-d,2001-2006,20th century,Medium-High,Unknown,['None']
49814,s-,2001-2006,Unknown,Low,Unknown,['None']
49961,a-d,2001-2006,Pre-1900s,Medium-Low,Man,"['Southern Europe', 'Central America']"
50991,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
51007,e-k,2001-2006,Pre-1900s,Medium-Low,Man,['None']
51306,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Southern Europe']
51651,l-r,2001-2006,Unknown,Low,Unknown,['Northern America']
52140,s-,2001-2006,20th century,Medium-Low,Unknown,['None']
53135,l-r,2001-2006,Unknown,Medium-High,Unknown,['None']
53159,l-r,2001-2006,Unknown,High,Unknown,['None']
53775,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
54022,e-k,2001-2006,20th century,High,Unknown,['None']
54159,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Northern America']
55120,s-,2001-2006,Pre-1900s,Medium-High,Unknown,['None']
55129,s-,2001-2006,Pre-1900s,Medium-Low,Unknown,['None']
55133,s-,2001-2006,Pre-1900s,Medium-Low,Unknown,['Eastern Europe']
55209,l-r,2001-2006,Unknown,Medium-High,Unknown,"['Southern Europe', 'Western Europe']"
55211,e-k,2001-2006,Unknown,Medium-High,Unknown,"['Southern Europe', 'Western Europe']"
55567,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
56183,a-d,2001-2006,Unknown,Low,Unknown,['None']
56697,e-k,2001-2006,Unknown,Medium-High,Unknown,['Eastern Africa']
56701,e-k,2001-2006,Unknown,Medium-High,Unknown,['Southern Europe']
56917,l-r,2001-2006,Unknown,High,Unknown,['None']
56986,e-k,2001-2006,Unknown,Medium-High,Unknown,['Eastern Asia']
58447,a-d,2001-2006,Unknown,Medium-High,Unknown,['Western Europe']
58600,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
58874,s-,2001-2006,Unknown,Low,Unknown,['Eastern Europe']
59028,s-,2001-2006,Unknown,Medium-High,Unknown,['Micronesia']
59073,e-k,2001-2006,Unknown,Low,Unknown,['None']
59186,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
59593,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None']
59601,e-k,2001-2006,Unknown,Low,Unknown,['None']
59772,e-k,2001-2006,Unknown,Low,Unknown,['None']
59778,e-k,2001-2006,Unknown,Low,Unknown,['None']
59780,e-k,2001-2006,Unknown,Low,Unknown,['None']
60030,a-d,2001-2006,Pre-1900s,Medium-Low,Man,['Western Europe']
60085,s-,2001-2006,Unknown,Low,Unknown,['None']
60529,s-,2001-2006,Unknown,Medium-High,Unknown,['None']
61028,e-k,2001-2006,Unknown,High,Unknown,['None']
61400,a-d,2001-2006,Pre-1900s,Low,Unknown,['Southern Europe']
61768,l-r,2001-2006,Unknown,High,Unknown,['Northern Africa']
62147,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
62223,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Eastern Europe']
62227,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Eastern Europe']
62273,a-d,2001-2006,Unknown,Medium-Low,Unknown,['None']
62622,a-d,2001-2006,20th century,Medium-High,Unknown,['None']
62905,a-d,2001-2006,Pre-1900s,High,Unknown,['Western Europe']
63027,l-r,2001-2006,Unknown,Medium-High,Unknown,['Western Europe']
63803,s-,2001-2006,Unknown,Medium-High,Unknown,['None']
63867,l-r,2001-2006,Unknown,Medium-High,Unknown,['Southern Europe']
65021,e-k,2001-2006,Unknown,Low,Unknown,['None']
65126,l-r,2001-2006,Pre-1900s,Medium-Low,Man,['None']
66053,e-k,2001-2006,Pre-1900s,High,Man,['Northern Europe']
66669,e-k,2001-2006,20th century,Low,Unknown,['None']
66822,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Southern Europe']
66824,e-k,2001-2006,Unknown,Low,Unknown,['Southern Europe']
67323,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Caribbean']
67590,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Caribbean']
67658,a-d,2001-2006,Unknown,High,Unknown,['Western Asia']
67815,e-k,2001-2006,Unknown,High,Unknown,['None']
68046,s-,2001-2006,Unknown,Low,Unknown,['None']
68465,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Southern Europe']
68966,a-d,2001-2006,Unknown,Medium-High,Unknown,['Southern Europe']
68980,a-d,2001-2006,Unknown,Medium-High,Unknown,['Western Africa']
69007,l-r,2001-2006,Unknown,Medium-High,Unknown,['Southern Asia']
69019,a-d,2001-2006,Pre-1900s,Low,Man,['None']
69058,l-r,2001-2006,Unknown,High,Unknown,['None']
69223,e-k,2001-2006,Unknown,Low,Unknown,['None']
69288,e-k,2001-2006,Pre-1900s,Low,Man,['None']
69299,s-,2001-2006,Unknown,Low,Unknown,['None']
69360,a-d,2001-2006,Unknown,Low,Unknown,['Western Europe']
69671,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Western Africa']
69959,s-,2001-2006,Unknown,Medium-High,Unknown,['None']
70630,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Southern Europe']
71095,a-d,2001-2006,Unknown,High,Unknown,['Northern America']
71627,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
71994,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None']
72465,s-,2001-2006,Unknown,High,Unknown,['None']
73075,e-k,2001-2006,Unknown,Low,Unknown,['None']
73330,s-,2001-2006,Unknown,Medium-High,Unknown,['Western Europe']
73417,a-d,2001-2006,20th century,Medium-Low,Unknown,['Northern America']
73642,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None']
73953,l-r,2001-2006,Pre-1900s,Medium-High,Man,['None']
74383,s-,2001-2006,20th century,Medium-Low,Unknown,['Northern America']
74575,l-r,2001-2006,Unknown,High,Unknown,['Western Asia']
74619,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Southern Europe']
74847,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
75015,s-,2001-2006,Pre-1900s,Medium-High,Unknown,['Northern Africa']
75079,s-,2001-2006,Unknown,Medium-Low,Unknown,['None']
75084,l-r,2001-2006,Unknown,High,Unknown,['None']
75538,e-k,2001-2006,Unknown,Low,Unknown,['None']
75972,a-d,2001-2006,Unknown,High,Unknown,['None']
76296,s-,2001-2006,Unknown,High,Unknown,['None']
76406,e-k,2001-2006,Unknown,High,Unknown,['None']
76483,l-r,2001-2006,Unknown,High,Unknown,['None']
77482,a-d,2001-2006,Pre-1900s,Medium-Low,Man,['None']
77794,s-,2001-2006,Unknown,Low,Unknown,['Southern Europe']
78421,e-k,2001-2006,Pre-1900s,Medium-Low,Man,['None']
79265,l-r,2001-2006,Unknown,Low,Unknown,['None']
79292,e-k,2001-2006,Pre-1900s,Medium-Low,Man,['None']
80052,s-,2001-2006,Pre-1900s,High,Man,['Western Europe']
80062,s-,2001-2006,20th century,Medium-High,Man,['South-eastern Asia']
80186,s-,2001-2006,20th century,Low,Man,['None']
80816,l-r,2001-2006,Unknown,Low,Unknown,['Western Europe']
81125,e-k,2001-2006,Unknown,Low,Unknown,['None']
81832,s-,2001-2006,Unknown,Medium-High,Unknown,['None']
81933,l-r,2001-2006,Unknown,Low,Unknown,['None']
81952,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None']
82731,e-k,2001-2006,Unknown,Low,Unknown,['Southern Europe']
82732,l-r,2001-2006,Pre-1900s,Medium-Low,Unknown,['Southern Europe']
82734,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Southern Europe']
82736,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Southern Europe']
82737,s-,2001-2006,Unknown,Medium-Low,Unknown,['Southern Europe']
82741,s-,2001-2006,Unknown,Low,Unknown,['Southern Europe']
82742,s-,2001-2006,Unknown,Low,Unknown,['Southern Europe']
82797,s-,2001-2006,Unknown,Medium-High,Unknown,['None']
83253,s-,2001-2006,Unknown,Low,Unknown,['Northern America']
83412,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
83413,a-d,2001-2006,Unknown,Medium-Low,Unknown,['None']
83504,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
83760,a-d,2001-2006,Unknown,Low,Unknown,['None']
83879,a-d,2001-2006,Unknown,Medium-Low,Unknown,['None']
84144,a-d,2001-2006,Pre-1900s,High,Man,['None']
84150,s-,2001-2006,Unknown,Low,Unknown,['None']
85018,l-r,2001-2006,Unknown,Medium-High,Unknown,['None']
85020,l-r,2001-2006,Unknown,Medium-High,Unknown,['None']
85457,e-k,2001-2006,Unknown,Medium-High,Unknown,['Western Europe']
86583,e-k,2001-2006,20th century,Medium-High,Unknown,['None']
86860,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Southern Asia']
86872,l-r,2001-2006,Pre-1900s,Medium-High,Unknown,['Western Europe']
86954,s-,2001-2006,Unknown,Low,Unknown,['Northern America']
87513,l-r,2001-2006,Unknown,High,Unknown,['None']
87612,s-,2001-2006,Unknown,Medium-High,Unknown,['None']
88250,l-r,2001-2006,Unknown,High,Unknown,['None']
88320,e-k,2001-2006,Unknown,High,Unknown,['Northern Europe']
88325,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None']
88350,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
88808,e-k,2001-2006,21st century,Low,Unknown,['Northern America']
88942,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
89365,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
89451,a-d,2001-2006,Unknown,Low,Unknown,['Western Europe']
89929,s-,2001-2006,Unknown,Low,Unknown,['Western Asia']
89957,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Southern Asia']
90012,l-r,2001-2006,Unknown,Low,Unknown,['Northern America']
91335,a-d,2001-2006,Pre-1900s,Medium-High,Unknown,['Western Europe']
92223,a-d,2001-2006,Pre-1900s,Medium-Low,Woman,['None']
92365,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
92400,e-k,2001-2006,20th century,Low,Man,['Northern America']
93862,a-d,2001-2006,Unknown,Medium-High,Unknown,['Northern Europe']
93882,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Northern Europe']
94026,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Northern Europe']
94480,l-r,2001-2006,Unknown,Medium-Low,Unknown,['None']
95472,a-d,2001-2006,Unknown,High,Unknown,['Eastern Europe']
95518,e-k,2001-2006,Unknown,Low,Unknown,['None']
95861,s-,2001-2006,Unknown,Medium-Low,Unknown,['Southern Europe']
97406,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
98411,l-r,2001-2006,Unknown,Low,Unknown,['Southern Asia']
98620,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Eastern Europe']
98749,a-d,2001-2006,Unknown,Medium-High,Unknown,['None']
98891,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Southern Europe']
99271,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
99272,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
99282,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
99284,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
99286,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
99288,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
99357,l-r,2001-2006,Unknown,High,Unknown,['None']
99591,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Western Europe']
99677,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
99834,l-r,2001-2006,Unknown,Low,Unknown,['Northern America']
100449,s-,2001-2006,Unknown,Medium-Low,Unknown,['Northern Europe']
100646,e-k,2001-2006,Unknown,Medium-High,Unknown,['None']
100704,e-k,2001-2006,Pre-1900s,Medium-Low,Man,['None']
100802,a-d,2001-2006,Unknown,Medium-High,Unknown,['Northern America']
100954,s-,2001-2006,Pre-1900s,Medium-High,Man,['Eastern Asia']
101197,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Melanesia']
101642,s-,2001-2006,Unknown,Medium-High,Unknown,['Western Europe']
101864,l-r,2001-2006,Unknown,Medium-High,Unknown,['Eastern Asia']
102658,s-,2001-2006,20th century,Low,Unknown,['None']
103735,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
103745,s-,2001-2006,Unknown,Low,Unknown,['Northern America']
104788,e-k,2001-2006,Unknown,Medium-High,Unknown,['Northern America']
105304,l-r,2001-2006,Unknown,Low,Unknown,['Northern America']
105336,a-d,2001-2006,Pre-1900s,Medium-Low,Unknown,['Eastern Europe']
105474,e-k,2001-2006,20th century,Low,Unknown,['Northern America']
105497,s-,2001-2006,20th century,Low,Unknown,['Northern America']
105507,l-r,2001-2006,20th century,Low,Unknown,['Northern America']
105508,l-r,2001-2006,20th century,Medium-Low,Unknown,['Northern America']
105510,l-r,2001-2006,20th century,Low,Unknown,['Northern America']
105519,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
105527,l-r,2001-2006,Unknown,Low,Unknown,['Northern America']
105548,l-r,2001-2006,Unknown,Low,Unknown,['Northern America']
105577,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
105609,l-r,2001-2006,Unknown,Low,Unknown,['Northern America']
105617,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
105618,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
105619,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
105625,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
105631,s-,2001-2006,Unknown,Low,Unknown,['Northern America']
105637,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
105643,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
105671,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
105676,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
105734,e-k,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
105746,l-r,2001-2006,Unknown,Low,Unknown,['Northern America']
105752,l-r,2001-2006,Unknown,Low,Unknown,['Northern America']
105898,e-k,2001-2006,Unknown,Medium-Low,Unknown,['None']
106325,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Southern Africa']
106398,e-k,2001-2006,Pre-1900s,Medium-Low,Man,['Northern America']
106532,l-r,2001-2006,Unknown,Low,Unknown,['Southern Europe']
106620,s-,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
106635,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
106667,s-,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
106805,s-,2001-2006,20th century,Medium-Low,Unknown,['Northern America']
106810,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
106823,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
106825,e-k,2001-2006,20th century,Medium-Low,Unknown,['Northern America']
106826,l-r,2001-2006,Unknown,Low,Unknown,['Northern America']
106828,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
106829,s-,2001-2006,Unknown,Low,Unknown,['Northern America']
106830,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
106834,a-d,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
106836,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
106838,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
106839,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
106843,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
106844,l-r,2001-2006,Unknown,Low,Unknown,['Northern America']
106851,s-,2001-2006,Unknown,Low,Unknown,['Northern America']
106852,s-,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
106899,s-,2001-2006,Unknown,Low,Unknown,['Northern America']
106903,e-k,2001-2006,Unknown,Low,Unknown,['Northern America']
106906,l-r,2001-2006,Unknown,Medium-Low,Unknown,['Northern America']
106916,l-r,2001-2006,Unknown,Low,Unknown,['Northern America']
106921,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
106923,a-d,2001-2006,Unknown,Low,Unknown,['Northern America']
