,l-r,e-k,s-,a-d
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,1.9090909089669421,1.2727272726446281,1.9090909089669421,1.2727272726446281
64,2.999999985,0.0,2.999999985,2.999999985
65,0.999999995,0.0,0.0,0.999999995
66,0.0,0.999999995,0.0,0.0
67,0.6666666655555554,0.0,0.9999999983333332,1.6666666638888885
68,0.1666666672222221,3.4999999999999996,0.0,0.0
69,2.6666666577777773,0.0,3.333333322222222,0.6666666644444443
70,0.0,0.0,0.0,0.0
71,0.999999995,1.99999999,4.999999975,0.0
72,0.0,0.999999995,0.0,0.0
73,1.99999999,0.999999995,3.99999998,1.99999999
74,1.9999999850000003,0.0,0.9999999925000002,0.4999999962500001
75,0.3555555550024688,0.0,0.0,0.0888888887506172
76,0.0,0.0,0.0,0.0
77,1.99999999,0.0,0.0,0.0
78,0.999999995,0.0,2.999999985,2.999999985
79,0.0,0.0,0.0,0.0
80,3.0080808117276177,0.0,0.0,0.0
81,2.999999985,0.999999995,2.999999985,2.999999985
82,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0
84,5.999999969999999,0.999999995,0.999999995,0.999999995
85,0.0,0.0,0.0,0.0
86,1.99999999,0.999999995,0.999999995,1.99999999
87,4.599999975000001,0.0,0.4999999953125,1.4999999903125
88,0.9999999974999998,0.4999999987499999,1.9999999949999996,1.4999999962499997
89,6.794871795964824,0.0,0.0,0.0
90,0.0,0.0,0.0,0.3999999952
91,1.9999999949999996,0.9999999974999998,0.9999999974999998,0.9999999974999998
92,0.999999995,4.999999975,1.99999999,0.999999995
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.3333333283333334,0.0,1.99999999,0.0
98,3.8306613226836013,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,2.999999985,1.99999999,0.999999995,2.999999985
102,2.6904761855782313,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,1.7999999854,0.0,0.3999999952,0.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.0,0.299999999775,0.8666666660166668,1.7999999991500002
110,1.4285714234693878,2.142857135204082,0.0,1.4285714234693878
111,0.9999999974999998,1.9999999949999996,0.9999999974999998,0.0
112,2.999999985,1.99999999,2.999999985,1.99999999
113,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,7.9999999599999985,0.0,0.999999995,0.999999995
119,2.999999985,0.999999995,2.999999985,0.0
120,1.1999999963999999,1.1999999963999999,2.9999999909999997,0.5999999981999999
121,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0
123,2.999999985,2.999999985,1.99999999,0.999999995
124,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0
127,0.6666666644444443,1.999999993333333,1.3333333288888887,1.3333333288888887
128,0.0,0.0,0.0,0.999999995
129,0.26143790858323646,0.0,0.0,0.0522875817166473
130,0.0,0.0,0.4999999950000001,0.4999999950000001
131,1.3333333244444445,1.999999986666667,2.666666648888889,0.0
132,1.3333333233333335,1.8095237947278915,1.8095237947278915,1.1428571330612247
133,0.0,0.0,0.0,0.0
134,2.2207792029473774,4.2857142612244905,0.1818181778512397,0.0
135,5.467032917223766,0.0,0.0,0.0
136,6.999999964999999,0.0,0.999999995,1.99999999
137,0.0,0.0,0.0,0.0
138,0.0,0.999999995,0.999999995,0.0
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0
147,3.99999998,0.999999995,1.99999999,0.0
148,1.6666666572222222,1.3333333244444445,0.0,4.999999971666666
149,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0
153,0.2500000009375,1.00000000375,0.2500000009375,0.2500000009375
154,0.999999995,2.8571428422448983,0.999999995,4.999999975
155,0.7999999904,2.3333333183333336,0.3999999952,1.7999999854
156,1.99999999,2.999999985,2.999999985,1.99999999
157,2.999999996625,2.3999999976,0.7999999992,0.0
158,0.0,0.0,0.0,0.0
