,l-r,e-k,s-,a-d
148,0.2,0.2,0.0,0.6
149,0.4,0.0,0.1,0.5
150,0.4,0.2,0.1,0.3
151,0.6,0.0,0.4,0.0
152,0.5,0.2,0.2,0.1
153,0.1,0.5,0.2,0.2
154,0.1,0.3,0.1,0.5
155,0.2,0.4,0.1,0.3
156,0.2,0.3,0.3,0.2
157,0.5,0.3,0.1,0.1
158,0.3,0.1,0.3,0.3
