,Unknown,20th century,Pre-1900s,21st century
65,0.999999995,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,3.3333333277777775,0.0,0.0,0.0
68,2.833333334444444,0.4999999999999999,0.0,0.1666666672222221
69,1.999999993333333,2.6666666577777773,1.999999993333333,0.0
70,0.0,0.0,0.7999999904,0.0
71,0.0,3.99999998,3.99999998,0.999999995
72,0.0,0.0,1.99999999,0.0
73,6.999999964999999,0.0,0.0,0.0
74,1.9999999850000003,0.0,2.4999999837500004,0.0
75,0.6666666658518514,0.0888888887506172,0.0,0.2888888885506171
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.999999995,0.0
78,8.666666622222222,0.999999995,0.0,0.0
79,0.0,0.0,0.0,0.0
80,2.4848484881851225,0.0,0.0,0.0
81,9.999999949999998,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0
84,6.999999964999999,0.0,1.99999999,0.0
85,0.0,0.0,0.0,0.0
86,5.999999969999999,0.0,0.0,0.0
87,8.33333328878472,0.0,0.0,0.0
88,1.4999999962499997,0.4999999987499999,2.9999999924999994,0.0
89,6.794871795964824,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
91,3.999999989999999,0.0,0.0,0.9999999974999998
92,4.999999975,1.99999999,1.99999999,0.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.999999995,1.99999999,0.0
98,3.500899418145613,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,9.333333284444445,0.0,0.0,0.0
102,3.166666661111111,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,1.1999999856,0.0,0.3999999952,0.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,4.366666664141667,0.0,0.0,0.0
110,4.285714270408163,0.0,0.0,0.0
111,1.9999999949999996,1.4999999962499997,0.4999999987499999,0.0
112,9.999999949999998,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,9.999999949999998,0.0,0.0,0.0
119,6.285714253265306,0.999999995,0.999999995,0.0
120,2.3999999927999998,0.0,2.9999999909999997,0.5999999981999999
121,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0
123,3.99999998,1.99999999,2.999999985,0.0
124,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0
127,2.6666666577777773,1.999999993333333,0.6666666644444443,0.0
128,2.999999985,0.0,0.0,0.0
129,0.366013072016531,0.0,0.0,0.0
130,0.4999999950000001,0.0,0.0,0.0
131,0.3999999952,3.9999999733333333,1.3333333244444445,0.0
132,5.428571384183675,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0
134,5.610389576830832,0.2857142832653061,1.7142857044897961,0.0
135,4.094871751301381,0.0,0.0,0.0
136,3.99999998,0.0,0.0,5.999999969999999
137,0.0,0.0,0.0,0.0
138,4.999999975,0.0,0.0,0.999999995
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0
147,6.999999964999999,0.0,0.0,0.0
148,7.399999953533333,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0
153,1.2500000046875002,0.7500000028125,0.2500000009375,0.0
154,7.9999999599999985,0.8571428522448981,0.0,0.999999995
155,3.1999999756,0.0,0.0,1.7999999854
156,0.999999995,5.999999969999999,0.0,2.999999985
157,7.199999992799999,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0
