,a-d,l-r,s-,e-k
102,0.0,0.9,0.1,0.0
103,0.7,0.1,0.1,0.1
104,0.2,0.3,0.1,0.4
105,0.1,0.2,0.3,0.4
106,0.2,0.3,0.3,0.2
107,0.3,0.4,0.2,0.1
108,0.1,0.1,0.6,0.2
109,0.6,0.2,0.2,0.0
110,0.2,0.1,0.0,0.7
111,0.2,0.2,0.3,0.3
112,0.2,0.4,0.3,0.1
113,0.2,0.3,0.4,0.1
114,0.4,0.3,0.2,0.1
115,0.2,0.4,0.2,0.2
116,0.1,0.2,0.5,0.2
117,0.0,0.5,0.0,0.5
118,0.1,0.9,0.0,0.0
119,0.3,0.1,0.1,0.5
120,0.2,0.1,0.4,0.3
121,0.2,0.3,0.2,0.3
122,0.6,0.2,0.0,0.2
123,0.2,0.4,0.3,0.1
124,0.5,0.2,0.3,0.0
125,0.4,0.2,0.1,0.3
126,0.3,0.2,0.3,0.2
127,0.1,0.1,0.1,0.7
128,0.4,0.3,0.0,0.3
129,0.1,0.5,0.3,0.1
130,0.3,0.3,0.2,0.2
131,0.1,0.2,0.4,0.3
132,0.0,0.4,0.4,0.2
133,0.5,0.3,0.1,0.1
134,0.0,0.1,0.3,0.6
135,0.2,0.6,0.1,0.1
136,0.4,0.5,0.0,0.1
137,0.2,0.5,0.2,0.1
138,0.2,0.2,0.4,0.2
139,0.1,0.1,0.1,0.7
140,0.4,0.2,0.1,0.3
141,0.3,0.4,0.2,0.1
142,0.3,0.2,0.4,0.1
143,0.1,0.3,0.5,0.1
144,0.2,0.2,0.4,0.2
145,0.1,0.3,0.4,0.2
146,0.4,0.1,0.3,0.2
147,0.0,0.6,0.2,0.2
148,0.5,0.3,0.0,0.2
149,0.4,0.4,0.1,0.1
150,0.4,0.2,0.2,0.2
151,0.0,0.5,0.3,0.2
152,0.5,0.3,0.0,0.2
153,0.3,0.2,0.1,0.4
154,0.3,0.1,0.4,0.2
155,0.3,0.2,0.2,0.3
156,0.2,0.1,0.3,0.4
157,0.3,0.3,0.0,0.4
158,0.5,0.0,0.2,0.3
