,e-k,s-,a-d,l-r
130,0.0,0.1,0.8,0.1
131,0.2,0.5,0.0,0.3
132,0.0,0.6,0.2,0.2
133,0.1,0.2,0.4,0.3
134,0.7,0.3,0.0,0.0
135,0.0,0.1,0.0,0.9
136,0.0,0.1,0.3,0.6
137,0.1,0.2,0.7,0.0
138,0.1,0.6,0.1,0.2
139,0.2,0.1,0.3,0.4
140,0.5,0.3,0.1,0.1
141,0.2,0.2,0.1,0.5
142,0.2,0.2,0.2,0.4
143,0.2,0.4,0.2,0.2
144,0.3,0.2,0.2,0.3
145,0.2,0.2,0.3,0.3
146,0.2,0.3,0.4,0.1
147,0.1,0.2,0.3,0.4
148,0.5,0.0,0.4,0.1
149,0.1,0.2,0.5,0.2
150,0.2,0.6,0.0,0.2
151,0.0,0.1,0.0,0.9
152,0.6,0.3,0.1,0.0
153,0.1,0.3,0.4,0.2
154,0.1,0.0,0.3,0.6
155,0.2,0.1,0.2,0.5
156,0.2,0.0,0.7,0.1
157,0.3,0.2,0.1,0.4
158,0.2,0.1,0.4,0.3
